Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2
Initial,2024-01-02 09:30:00-05:00,170.1300048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-02 10:30:00-05:00,170.66000366210938,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-02 11:30:00-05:00,171.27999877929688,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-02 12:30:00-05:00,171.77000427246094,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-02 13:30:00-05:00,171.42999267578125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-02 14:30:00-05:00,171.66000366210938,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-02 15:30:00-05:00,172.13999938964844,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-03 09:30:00-05:00,170.75,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-03 10:30:00-05:00,171.3946075439453,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-03 11:30:00-05:00,171.22000122070312,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-03 12:30:00-05:00,171.7100067138672,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-03 13:30:00-05:00,171.86000061035156,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-03 14:30:00-05:00,171.7100067138672,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-03 15:30:00-05:00,171.33999633789062,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-04 09:30:00-05:00,172.47999572753906,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-04 10:30:00-05:00,173.0500030517578,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-04 11:30:00-05:00,172.69000244140625,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-04 12:30:00-05:00,172.39990234375,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-04 13:30:00-05:00,172.1300048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-04 14:30:00-05:00,171.73500061035156,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-04 15:30:00-05:00,171.44000244140625,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-05 09:30:00-05:00,172.6300048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-05 10:30:00-05:00,173.02999877929688,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-05 11:30:00-05:00,172.14500427246094,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-05 12:30:00-05:00,172.42999267578125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-05 13:30:00-05:00,172.52000427246094,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-05 14:30:00-05:00,172.22000122070312,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2024-01-05 15:30:00-05:00,172.27000427246094,0,0.0,0.0,100000.0,None,100000.0,12,17
Buy,2024-01-08 09:30:00-05:00,169.95799255371094,588,0.0,99935.29962158203,64.70037841796875,Buy,100000.0,12,17
Buy Hold,2024-01-08 09:30:00-05:00,169.95799255371094,588,0.0,99935.29962158203,64.70037841796875,Buy Hold,100000.0,12,17
Buy Hold,2024-01-08 10:30:00-05:00,170.1999969482422,588,142.298583984375,100077.5982055664,64.70037841796875,Buy Hold,100142.29858398438,12,17
Buy Hold,2024-01-08 11:30:00-05:00,169.72000122070312,588,-282.23748779296875,99795.36071777344,64.70037841796875,Buy Hold,99860.0610961914,12,17
Buy Hold,2024-01-08 12:30:00-05:00,169.67840576171875,588,-24.4581298828125,99770.90258789062,64.70037841796875,Buy Hold,99835.6029663086,12,17
Buy Hold,2024-01-08 13:30:00-05:00,170.6199951171875,588,553.654541015625,100324.55712890625,64.70037841796875,Buy Hold,100389.25750732422,12,17
Buy Hold,2024-01-08 14:30:00-05:00,171.36000061035156,588,435.12322998046875,100759.68035888672,64.70037841796875,Buy Hold,100824.38073730469,12,17
Buy Hold,2024-01-08 15:30:00-05:00,172.0,588,376.31964111328125,101136.0,64.70037841796875,Buy Hold,101200.70037841797,12,17
Buy Hold,2024-01-09 09:30:00-05:00,170.7899932861328,588,-711.4839477539062,100424.5160522461,64.70037841796875,Buy Hold,100489.21643066406,12,17
Buy Hold,2024-01-09 10:30:00-05:00,170.97999572753906,588,111.721435546875,100536.23748779297,64.70037841796875,Buy Hold,100600.93786621094,12,17
Buy Hold,2024-01-09 11:30:00-05:00,171.0500030517578,588,41.164306640625,100577.4017944336,64.70037841796875,Buy Hold,100642.10217285156,12,17
