Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage
Initial,2024-01-02 09:30:00-05:00,170.1300048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-02 10:30:00-05:00,170.66000366210938,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-02 11:30:00-05:00,171.27999877929688,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-02 12:30:00-05:00,171.77000427246094,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-02 13:30:00-05:00,171.42999267578125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-02 14:30:00-05:00,171.66000366210938,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-02 15:30:00-05:00,172.13999938964844,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-03 09:30:00-05:00,170.75,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-03 10:30:00-05:00,171.3946075439453,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-03 11:30:00-05:00,171.22000122070312,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-03 12:30:00-05:00,171.7100067138672,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-03 13:30:00-05:00,171.86000061035156,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-03 14:30:00-05:00,171.7100067138672,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-03 15:30:00-05:00,171.33999633789062,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-04 09:30:00-05:00,172.47999572753906,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-04 10:30:00-05:00,173.0500030517578,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-04 11:30:00-05:00,172.69000244140625,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-04 12:30:00-05:00,172.39990234375,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-04 13:30:00-05:00,172.1300048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-04 14:30:00-05:00,171.73500061035156,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-04 15:30:00-05:00,171.44000244140625,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-05 09:30:00-05:00,172.6300048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
No Signal,2024-01-05 10:30:00-05:00,173.02999877929688,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4159112860771303,0.9628107010875327
