Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Buy - Sell,169.95799255371094,2024-01-08 09:30:00-05:00,169.77499389648438,2024-01-10 10:30:00-05:00,99935.29962158205,99827.6964111328,-107.60321044924785,101136.0,99683.63928222656,1.2014777390617346,0.0
Short Sell - Buy,169.77499389648438,2024-01-10 10:30:00-05:00,170.49000549316406,2024-01-10 13:30:00-05:00,99657.92141723631,99590.4221496582,67.49926757811045,99654.23748779295,99566.1632080078,0.0,0.09207317182981663
Buy - Sell,170.49000549316406,2024-01-10 13:30:00-05:00,171.9510040283203,2024-01-12 09:30:00-05:00,99566.1632080078,100419.38635253906,853.2231445312646,99855.24035644533,98673.16967773438,0.290336736019049,0.0
Short Sell - Buy,169.47999572753906,2024-01-10 11:30:00-05:00,170.0399932861328,2024-01-12 12:30:00-05:00,99654.23748779295,99531.71856689452,122.5189208984375,100419.38635253906,98673.16967773438,0.0,0.9844717442936173
Buy - Sell,170.0399932861328,2024-01-12 12:30:00-05:00,167.02000427246094,2024-01-16 09:30:00-05:00,99643.43606567384,97873.72250366212,-1769.7135620117188,100059.5,99069.15856933594,0.41755277693548665,0.0
Short Sell - Buy,169.66000366210938,2024-01-10 12:30:00-05:00,166.96499633789062,2024-01-16 12:30:00-05:00,99590.4221496582,99150.79963684082,439.6225128173828,100419.38635253906,97873.72250366212,0.0,1.7237597842655303
Buy - Sell,166.96499633789062,2024-01-16 12:30:00-05:00,165.6999969482422,2024-01-18 11:30:00-05:00,99010.24282836914,98260.09819030762,-750.1446380615234,99760.38746643066,98343.11782836914,0.7576434686276585,0.0
Short Sell - Buy,171.9510040283203,2024-01-12 09:30:00-05:00,166.72549438476562,2024-01-18 13:30:00-05:00,99387.68032836914,98259.65675354004,1128.0235748291016,100059.5,97873.72250366212,0.0,1.5232851996394505
Buy - Sell,166.72549438476562,2024-01-18 13:30:00-05:00,169.8800048828125,2024-01-19 12:30:00-05:00,98201.31619262695,100059.32287597656,1858.0066833496094,99803.10931396484,98201.31619262695,1.6311320290207627,0.0
Short Sell - Buy,170.89999389648438,2024-01-12 10:30:00-05:00,169.22500610351562,2024-01-23 14:30:00-05:00,99463.7964477539,98614.4464416504,849.3500061035011,100059.5,97873.72250366212,0.0,1.5986459404121098
Buy - Sell,169.22500610351562,2024-01-23 14:30:00-05:00,170.52000427246094,2024-01-24 15:30:00-05:00,98488.9535522461,99242.64248657228,753.6889343261864,99428.87786865234,98369.64248657228,0.9543449112875811,0.0
Short Sell - Buy,169.55999755859375,2024-01-12 11:30:00-05:00,171.6699981689453,2024-01-29 13:30:00-05:00,99531.71856689452,98212.39825439452,1319.3203125,100059.5,97873.72250366212,0.0,1.6657966797971706
Buy - Sell,171.6699981689453,2024-01-29 13:30:00-05:00,175.5800018310547,2024-01-30 11:30:00-05:00,98195.23895263672,100431.76104736328,2236.5220947265625,100174.36279296876,98195.23895263672,2.0154987771725392,0.0
Short Sell - Buy,167.02000427246094,2024-01-16 09:30:00-05:00,173.57000732421875,2024-02-01 11:30:00-05:00,99209.8825378418,100818.89785766602,-1609.0153198242188,100844.1742553711,98195.23895263672,0.0,1.0227243085567215
Buy - Sell,173.57000732421875,2024-02-01 11:30:00-05:00,174.72000122070312,2024-02-02 15:30:00-05:00,100844.1742553711,101512.32070922852,668.1464538574219,102029.41035461426,100515.90783691406,1.175314397678294,0.0
Short Sell - Buy,166.72000122070312,2024-01-16 10:30:00-05:00,174.75999450683594,2024-02-06 11:30:00-05:00,99198.40072631836,102384.00672912598,-3185.606002807617,102409.35678100586,98195.23895263672,0.0,1.011268091356932
Buy - Sell,174.75999450683594,2024-02-06 11:30:00-05:00,175.0399932861328,2024-02-06 15:30:00-05:00,102409.35678100586,102573.43606567384,164.0792846679833,102409.35678100586,101858.5242919922,0.0,0.0
Short Sell - Buy,166.63999938964844,2024-01-16 11:30:00-05:00,175.27000427246094,2024-02-07 14:30:00-05:00,99150.79963684082,102252.36964416504,-3101.5700073242188,102573.43606567384,98195.23895263672,0.0,0.9637448086188204
Buy - Sell,175.27000427246094,2024-02-07 14:30:00-05:00,173.75,2024-02-08 10:30:00-05:00,102357.6824951172,101470.0,-887.682495117202,102445.27893066406,101688.3583984375,0.08557876010043416,0.0
Short Sell - Buy,165.6999969482422,2024-01-18 11:30:00-05:00,174.2949981689453,2024-02-09 09:30:00-05:00,98260.09819030762,101558.80177307127,-3298.7035827636573,102573.43606567384,98195.23895263672,0.0,0.06600770695881124
Buy - Sell,174.2949981689453,2024-02-09 09:30:00-05:00,175.2100067138672,2024-02-12 09:30:00-05:00,101439.68893432616,101972.2239074707,532.5349731445458,101838.35751342772,101391.73361206056,0.3930104511259568,0.0
Short Sell - Buy,166.25999450683594,2024-01-18 12:30:00-05:00,174.25,2024-02-13 15:30:00-05:00,98259.65675354004,101498.1721496582,-3238.515396118164,102573.43606567384,98195.23895263672,0.0,0.06555874814919858
Buy - Sell,174.25,2024-02-13 15:30:00-05:00,178.36000061035156,2024-02-15 10:30:00-05:00,101413.5,103805.5203552246,2392.020355224595,103927.74426269533,101413.5,2.4792007599533856,0.0
Short Sell - Buy,169.8800048828125,2024-01-19 12:30:00-05:00,179.30999755859375,2024-02-20 12:30:00-05:00,99889.44287109376,104903.9228515625,-5014.479980468735,104903.9228515625,98195.23895263672,0.0,1.6960790547639728
Buy - Sell,179.30999755859375,2024-02-20 12:30:00-05:00,179.22999572753906,2024-02-21 09:30:00-05:00,104896.34857177734,104849.54750061037,-46.801071166977636,105434.60998535156,104896.34857177734,0.513136463664322,0.0
Short Sell - Buy,170.0800018310547,2024-01-19 13:30:00-05:00,183.32000732421875,2024-02-26 15:30:00-05:00,99836.9610748291,105279.6257019043,-5442.664627075195,105434.60998535156,98195.23895263672,0.0,1.6444031393963312
Buy - Sell,183.32000732421875,2024-02-26 15:30:00-05:00,184.52999877929688,2024-02-28 11:30:00-05:00,105225.68420410156,105920.2192993164,694.5350952148438,106212.95614624023,104846.84210205078,0.9382423593689394,0.0
Short Sell - Buy,169.97000122070312,2024-01-19 14:30:00-05:00,187.8300018310547,2024-03-07 15:30:00-05:00,99772.39071655272,104256.75338745116,-4484.3626708984375,106212.95614624023,98195.23895263672,0.0,1.5807496969743797
Buy - Sell,187.8300018310547,2024-03-07 15:30:00-05:00,187.1100006103516,2024-03-11 11:30:00-04:00,104245.65101623537,103846.05033874512,-399.6006774902489,105078.15101623537,103507.5,0.7985944659411693,0.0
Short Sell - Buy,170.33999633789062,2024-01-19 15:30:00-05:00,187.94000244140625,2024-03-11 14:30:00-04:00,99648.89785766602,103488.82403564452,-3839.926177978501,106212.95614624023,98195.23895263672,0.0,1.4587807153729264
Buy - Sell,187.94000244140625,2024-03-11 14:30:00-04:00,190.16000366210935,2024-03-12 14:30:00-04:00,103367.00134277344,104588.00201416016,1221.0006713867188,104318.49899291992,103367.00134277344,0.9205042593731052,0.0
Short Sell - Buy,171.7899932861328,2024-01-22 09:30:00-05:00,187.44000244140625,2024-03-14 14:30:00-04:00,99638.19610595705,104365.39685058594,-4727.200744628892,106212.95614624023,98195.23895263672,0.0,1.4481967856843379
Buy - Sell,187.44000244140625,2024-03-14 14:30:00-04:00,191.4600067138672,2024-03-18 10:30:00-04:00,104404.08135986328,106643.22373962402,2239.142379760742,106470.5466003418,104404.08135986328,1.9792954581495315,0.0
Short Sell - Buy,170.84500122070312,2024-01-22 10:30:00-05:00,195.72000122070312,2024-03-25 10:30:00-04:00,99602.63571166992,107946.41201782228,-8343.776306152358,108037.44067382812,98195.23895263672,0.0,1.4130115623720445
Buy - Sell,195.72000122070312,2024-03-25 10:30:00-04:00,197.47999572753903,2024-03-27 10:30:00-04:00,108037.44067382812,109008.95764160156,971.5169677734375,108572.88134765624,107369.51696777344,0.49560658831658166,0.0
Short Sell - Buy,170.625,2024-01-22 11:30:00-05:00,198.80499267578125,2024-04-02 10:30:00-04:00,99474.375,108872.39666748048,-9398.021667480483,109008.95764160156,98195.23895263672,0.0,1.2858950331311771
Buy - Sell,198.80499267578125,2024-04-02 10:30:00-04:00,198.32000732421875,2024-04-08 13:30:00-04:00,108945.13598632812,108679.36401367188,-265.77197265625,109123.24267578124,107216.19665527344,0.16348291994923173,0.0
Short Sell - Buy,169.77999877929688,2024-01-22 12:30:00-05:00,197.3300018310547,2024-04-09 14:30:00-04:00,99321.29928588869,108166.80865478516,-8845.50936889647,109123.24267578124,98195.23895263672,0.0,1.1337551374662247
Buy - Sell,197.3300018310547,2024-04-09 14:30:00-04:00,183.02999877929688,2024-04-18 10:30:00-04:00,108136.84100341795,100300.43933105467,-7836.401672363281,108136.84100341795,98557.80334472656,0.0,0.0
Short Sell - Buy,170.3000030517578,2024-01-22 13:30:00-05:00,193.67999267578125,2024-04-30 10:30:00-04:00,99284.9017791748,97084.99908447266,2199.9026947021484,109123.24267578124,97033.6763305664,0.0,2.2674398707826464
Buy - Sell,193.67999267578125,2024-04-30 10:30:00-04:00,192.6100006103516,2024-05-07 09:30:00-04:00,97033.6763305664,96497.61030578612,-536.066024780288,97168.94847106934,95144.9118347168,0.13940741567092194,0.0
Short Sell - Buy,170.38999938964844,2024-01-22 14:30:00-05:00,197.2198944091797,2024-05-20 13:30:00-04:00,99166.9796447754,96081.87823486328,3085.101409912124,109123.24267578124,95144.9118347168,0.0,4.055853898612218
Buy - Sell,197.2198944091797,2024-05-20 13:30:00-04:00,198.41000366210935,2024-05-22 13:30:00-04:00,96046.08857727052,96625.67178344728,579.5832061767578,97626.45321655272,95301.03118896484,1.6454232157624724,0.0
Short Sell - Buy,170.13999938964844,2024-01-22 15:30:00-05:00,196.40499877929688,2024-05-23 13:30:00-04:00,99021.4796447754,97520.54180908205,1500.9378356933594,109123.24267578124,95144.9118347168,0.0,3.914875665325553
Buy - Sell,196.40499877929688,2024-05-23 13:30:00-04:00,200.2400054931641,2024-05-24 14:30:00-04:00,97613.28439331056,99519.28273010254,1905.9983367919776,99444.72817993164,97613.28439331056,1.8762239156319054,0.0
Short Sell - Buy,169.0399932861328,2024-01-23 09:30:00-05:00,197.69000244140625,2024-05-29 11:30:00-04:00,98888.3960723877,99320.70306396484,-432.30699157714844,109123.24267578124,95144.9118347168,0.0,3.785564723823223
Buy - Sell,197.69000244140625,2024-05-29 11:30:00-04:00,199.3300018310547,2024-05-30 15:30:00-04:00,99240.38122558594,100063.66091918944,823.2796936035011,100274.5,99240.38122558594,1.0420342623063688,0.0
Short Sell - Buy,169.0301055908203,2024-01-23 10:30:00-05:00,199.3000030517578,2024-06-04 13:30:00-04:00,98882.61177062988,99854.30877685548,-971.6970062256005,109123.24267578124,95144.9118347168,0.0,3.779936501458043
Buy - Sell,199.3000030517578,2024-06-04 13:30:00-04:00,200.6100006103516,2024-06-07 11:30:00-04:00,99849.30152893066,100505.61030578612,656.3087768554542,100285.1690826416,97985.5809173584,0.4365253908007036,0.0
