Signal,Start Date,Start Close Price,End Date,End Close Price,Start Total Cash,End Total Cash,Total Cash Difference,% Difference,Remark
Buy - Sell,2024-01-08 09:30:00-05:00,169.95799255371094,2024-01-10 10:30:00-05:00,169.77499389648438,100000.0,100140.8271484375,140.8271484375,0.1408271484375,Positive
Sell - Buy,2024-01-10 10:30:00-05:00,169.77499389648438,2024-01-10 13:30:00-05:00,170.49000549316406,100140.8271484375,99656.58145141602,-484.2456970214844,-0.4835647066342812,Negative
Buy - Sell,2024-01-10 13:30:00-05:00,170.49000549316406,2024-01-12 09:30:00-05:00,171.9510040283203,99656.58145141602,100534.06353759766,877.4820861816406,0.8805059067869245,Positive
Sell - Buy,2024-01-12 09:30:00-05:00,171.9510040283203,2024-01-12 12:30:00-05:00,170.0399932861328,100534.06353759766,99801.37576293944,-732.6877746582177,-0.728795543397296,Negative
Buy - Sell,2024-01-12 12:30:00-05:00,170.0399932861328,2024-01-16 09:30:00-05:00,167.02000427246094,99801.37576293944,99012.83345031738,-788.5423126220558,-0.7901116658903571,Negative
Sell - Buy,2024-01-16 09:30:00-05:00,167.02000427246094,2024-01-16 12:30:00-05:00,166.96499633789062,99012.83345031738,99027.4585571289,14.625106811523438,0.014770920396760503,Positive
Buy - Sell,2024-01-16 12:30:00-05:00,166.96499633789062,2024-01-18 11:30:00-05:00,165.6999969482422,99027.4585571289,98277.31391906738,-750.1446380615234,-0.7575117538018663,Negative
Sell - Buy,2024-01-18 11:30:00-05:00,165.6999969482422,2024-01-18 13:30:00-05:00,166.72549438476562,98277.31391906738,98301.55155944824,24.237640380859375,0.024662497797629447,Positive
Buy - Sell,2024-01-18 13:30:00-05:00,166.72549438476562,2024-01-19 12:30:00-05:00,169.8800048828125,98301.55155944824,99812.27380371094,1510.7222442626953,1.5368244145659087,Positive
Sell - Buy,2024-01-19 12:30:00-05:00,169.8800048828125,2024-01-23 14:30:00-05:00,169.22500610351562,99812.27380371094,98502.85536193848,-1309.418441772461,-1.3118811864235658,Negative
Buy - Sell,2024-01-23 14:30:00-05:00,169.22500610351562,2024-01-24 15:30:00-05:00,170.52000427246094,98502.85536193848,99155.05754089355,652.2021789550781,0.6621149981476467,Positive
Sell - Buy,2024-01-24 15:30:00-05:00,170.52000427246094,2024-01-29 13:30:00-05:00,171.6699981689453,99155.05754089355,98245.85653686523,-909.2010040283203,-0.9169486928625373,Negative
Buy - Sell,2024-01-29 13:30:00-05:00,171.6699981689453,2024-01-30 11:30:00-05:00,175.5800018310547,98245.85653686523,99610.07775878906,1364.2212219238281,1.3885788877131173,Positive
Sell - Buy,2024-01-30 11:30:00-05:00,175.5800018310547,2024-02-01 11:30:00-05:00,173.57000732421875,99610.07775878906,100988.5535888672,1378.4758300781396,1.3838718542276311,Positive
Buy - Sell,2024-02-01 11:30:00-05:00,173.57000732421875,2024-02-02 15:30:00-05:00,174.72000122070312,100988.5535888672,101356.42651367188,367.87292480467295,0.36427190184574204,Positive
Sell - Buy,2024-02-02 15:30:00-05:00,174.72000122070312,2024-02-06 11:30:00-05:00,174.75999450683594,101356.42651367188,102546.6657562256,1190.2392425537255,1.1743105824603783,Positive
Buy - Sell,2024-02-06 11:30:00-05:00,174.75999450683594,2024-02-06 15:30:00-05:00,175.0399932861328,102546.6657562256,102685.39498901369,138.72923278808594,0.1352840014495193,Positive
Sell - Buy,2024-02-06 15:30:00-05:00,175.0399932861328,2024-02-07 14:30:00-05:00,175.27000427246094,102685.39498901369,102498.57180786131,-186.82318115237285,-0.18193744219648866,Negative
Buy - Sell,2024-02-07 14:30:00-05:00,175.27000427246094,2024-02-08 10:30:00-05:00,173.75,102498.57180786131,101610.88931274414,-887.682495117173,-0.8660437696450816,Negative
Sell - Buy,2024-02-08 10:30:00-05:00,173.75,2024-02-09 09:30:00-05:00,174.2949981689453,101610.88931274414,101451.4366455078,-159.45266723634268,-0.15692478268305438,Negative
