Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Initial,2024-01-02 09:30:00-05:00,170.1300049,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-02 10:30:00-05:00,170.6600037,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-02 11:30:00-05:00,171.2799988,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-02 12:30:00-05:00,171.7700043,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-02 13:30:00-05:00,171.4299927,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-02 14:30:00-05:00,171.6600037,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-02 15:30:00-05:00,172.1399994,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-03 09:30:00-05:00,170.75,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-03 10:30:00-05:00,171.3946075,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-03 11:30:00-05:00,171.2200012,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-03 12:30:00-05:00,171.7100067,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-03 13:30:00-05:00,171.8600006,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-03 14:30:00-05:00,171.7100067,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-03 15:30:00-05:00,171.3399963,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-04 09:30:00-05:00,172.4799957,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-04 10:30:00-05:00,173.0500031,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-04 11:30:00-05:00,172.6900024,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-04 12:30:00-05:00,172.3999023,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-04 13:30:00-05:00,172.1300049,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-04 14:30:00-05:00,171.7350006,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-04 15:30:00-05:00,171.4400024,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-05 09:30:00-05:00,172.6300049,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-05 10:30:00-05:00,173.0299988,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-05 11:30:00-05:00,172.1450043,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-05 12:30:00-05:00,172.4299927,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-05 13:30:00-05:00,172.5200043,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-05 14:30:00-05:00,172.2200012,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
No Signal,2024-01-05 15:30:00-05:00,172.2700043,0,0,0,100000,,100000,12,17,,0.415911286,0.962810701,,,,0.415911286,0.962810701
Buy,2024-01-08 09:30:00-05:00,169.9579926,588,0,99935.29962,64.70037842,Buy,100000,12,17,,0.415911286,0.962810701,599.6117977,0.6,,0.415911286,0.962810701
Buy Hold,2024-01-08 09:30:00-05:00,169.9579926,588,0,99935.29962,64.70037842,Buy Hold,100000,12,17,0,0.415911286,0.962810701,,,0,0.415911286,0.962810701
Buy Hold,2024-01-08 10:30:00-05:00,170.1999969,588,142.298584,100077.5982,64.70037842,Buy Hold,100142.2986,12,17,0.142390711,0.415911286,0.962810701,,,0.142390711,0.415911286,0.962810701
Buy Hold,2024-01-08 11:30:00-05:00,169.7200012,588,-282.2374878,99795.36072,64.70037842,Buy Hold,99860.0611,12,17,-0.282018646,0.415911286,0.962810701,,,-0.282018646,0.415911286,0.962810701
Buy Hold,2024-01-08 12:30:00-05:00,169.6784058,588,-24.45812988,99770.90259,64.70037842,Buy Hold,99835.60297,12,17,-0.024508283,0.415911286,0.962810701,,,-0.024508283,0.415911286,0.962810701
Buy Hold,2024-01-08 13:30:00-05:00,170.6199951,294,49608.62402,50162.27856,50226.97894,Buy Hold,100389.2575,12,17,0.554925862,0.415911286,0.962810701,,,-49.72253707,0.415911286,0.962810701
Buy Hold,2024-01-08 14:30:00-05:00,171.3600006,147,24972.35847,25189.92009,75265.75951,Buy Hold,100455.6796,12,17,100.8674312,0.415911286,0.962810701,151.1395205,0.6,0.433715575,0.415911286,0.962810701
Buy Hold,2024-01-08 15:30:00-05:00,172,147,94.07991028,25284,64.70037842,Buy Hold,100549.7595,12,17,100.7469647,0.415911286,0.962810701,,,100.7469647,0.415911286,0.962810701
Buy Hold,2024-01-09 09:30:00-05:00,170.7899933,147,-177.8709869,25106.12901,64.70037842,Buy Hold,100371.8885,12,17,98.59301545,0.415911286,0.962810701,,,98.59301545,0.415911286,0.962810701
Buy Hold,2024-01-09 10:30:00-05:00,170.9799957,147,27.93035889,25134.05937,64.70037842,Buy Hold,100399.8189,12,17,100.2224983,0.415911286,0.962810701,,,100.2224983,0.415911286,0.962810701
Buy Hold,2024-01-09 11:30:00-05:00,171.0500031,147,10.29107666,25144.35045,64.70037842,Buy Hold,100410.11,12,17,100.0818895,0.415911286,0.962810701,,,100.0818895,0.415911286,0.962810701
Buy Hold,2024-01-09 12:30:00-05:00,170.4100037,147,-94.07991028,25050.27054,64.70037842,Buy Hold,100316.0301,12,17,99.25168152,0.415911286,0.962810701,,,99.25168152,0.415911286,0.962810701
Buy Hold,2024-01-09 13:30:00-05:00,170.25,147,-23.52053833,25026.75,64.70037842,Buy Hold,100292.5095,12,17,99.8122133,0.415911286,0.962810701,,,99.8122133,0.415911286,0.962810701
Buy Hold,2024-01-09 14:30:00-05:00,170.5149994,147,38.95491028,25065.70491,64.70037842,Buy Hold,100331.4644,12,17,100.3113062,0.415911286,0.962810701,,,100.3113062,0.415911286,0.962810701
Buy Hold,2024-01-09 15:30:00-05:00,170.6499939,147,19.8441925,25085.5491,64.70037842,Buy Hold,100351.3086,12,17,100.1583374,0.415911286,0.962810701,,,100.1583374,0.415911286,0.962810701
Buy Hold,2024-01-10 09:30:00-05:00,169.5299988,147,-164.6392822,24920.90982,64.70037842,Buy Hold,100186.6693,12,17,98.68737749,0.415911286,0.962810701,,,98.68737749,0.415911286,0.962810701
Buy Hold,2024-01-10 10:30:00-05:00,169.7749939,147,36.01428223,24956.9241,64.70037842,Buy Hold,100222.6836,12,17,100.2890286,0.415911286,0.962810701,,,100.2890286,0.415911286,0.962810701
Sell,2024-01-10 10:30:00-05:00,169.7749939,0,0,0,100047.9851,Sell Hold,100222.6836,12,17,,0.415911286,0.962810701,174.6984687,0.7,,0.415911286,0.962810701
Short Sell,2024-01-10 10:30:00-05:00,169.7749939,587,0,99657.92142,90.41824341,Sell Hold,99748.33966,12,17,0,0.415911286,0.962810701,,,0,0.415911286,0.962810701
Short Sell,2024-01-10 11:30:00-05:00,169.4799957,588,-3.683929443,99654.23749,94.10217285,Sell Hold,99744.65573,12,17,-0.003696575,0.415911286,0.962810701,,,-0.003696575,0.415911286,0.962810701
Short Sell,2024-01-10 12:30:00-05:00,169.6600037,587,-63.81533813,99590.42215,154.2335815,Sell Hold,99680.84039,12,17,-0.064036753,0.415911286,0.962810701,,,-0.064036753,0.415911286,0.962810701
Buy,2024-01-10 13:30:00-05:00,170.4900055,584,0,99566.16321,114.6771851,Buy,99656.58145,12,17,,0.415911286,0.962810701,597.3969792,0.6,,0.415911286,0.962810701
Buy Hold,2024-01-10 13:30:00-05:00,170.4900055,584,0,99566.16321,114.6771851,Buy Hold,99656.58145,12,17,0,0.415911286,0.962810701,,,0,0.415911286,0.962810701
Buy Hold,2024-01-10 14:30:00-05:00,170.8302002,584,198.6737061,99764.83691,114.6771851,Buy Hold,99855.25516,12,17,0.199539381,0.415911286,0.962810701,,,0.199539381,0.415911286,0.962810701
Buy Hold,2024-01-10 15:30:00-05:00,170.9850006,584,90.40344238,99855.24036,114.6771851,Buy Hold,99945.6586,12,17,0.090616539,0.415911286,0.962810701,,,0.090616539,0.415911286,0.962810701
Buy Hold,2024-01-11 09:30:00-05:00,169.1000061,584,-1100.836792,98754.40356,114.6771851,Buy Hold,98844.82181,12,17,-1.10243267,0.415911286,0.962810701,,,-1.10243267,0.415911286,0.962810701
Buy Hold,2024-01-11 10:30:00-05:00,168.9900055,584,-64.24035645,98690.16321,114.6771851,Buy Hold,98780.58145,12,17,-0.065050625,0.415911286,0.962810701,,,-0.065050625,0.415911286,0.962810701
Buy Hold,2024-01-11 11:30:00-05:00,168.960907,584,-16.99353027,98673.16968,114.6771851,Buy Hold,98763.58792,12,17,-0.017219072,0.415911286,0.962810701,,,-0.017219072,0.415911286,0.962810701
