Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2
Initial,2023-01-02 09:15:00+05:30,44.65000153,0,0,0,100000,None,100000,12,17
No Signal,2023-01-02 10:15:00+05:30,44.75,0,0,0,100000,None,100000,12,17
No Signal,2023-01-02 11:15:00+05:30,44.59999847,0,0,0,100000,None,100000,12,17
No Signal,2023-01-02 12:15:00+05:30,44.59000015,0,0,0,100000,None,100000,12,17
No Signal,2023-01-02 13:15:00+05:30,44.54000092,0,0,0,100000,None,100000,12,17
No Signal,2023-01-02 14:15:00+05:30,44.29000092,0,0,0,100000,None,100000,12,17
No Signal,2023-01-02 15:15:00+05:30,44.31999969,0,0,0,100000,None,100000,12,17
No Signal,2023-01-03 09:15:00+05:30,44.84999847,0,0,0,100000,None,100000,12,17
No Signal,2023-01-03 12:15:00+05:30,44.75,0,0,0,100000,None,100000,12,17
No Signal,2023-01-03 13:15:00+05:30,44.59999847,0,0,0,100000,None,100000,12,17
No Signal,2023-01-03 14:15:00+05:30,44.61000061,0,0,0,100000,None,100000,12,17
No Signal,2023-01-03 15:15:00+05:30,44.63999939,0,0,0,100000,None,100000,12,17
No Signal,2023-01-04 09:15:00+05:30,44.47000122,0,0,0,100000,None,100000,12,17
No Signal,2023-01-04 10:15:00+05:30,44.40999985,0,0,0,100000,None,100000,12,17
No Signal,2023-01-04 11:15:00+05:30,44.22000122,0,0,0,100000,None,100000,12,17
No Signal,2023-01-04 14:15:00+05:30,44.58000183,0,0,0,100000,None,100000,12,17
No Signal,2023-01-04 15:15:00+05:30,44.18999863,0,0,0,100000,None,100000,12,17
No Signal,2023-01-05 09:15:00+05:30,44.29999924,0,0,0,100000,None,100000,12,17
Sell,2023-01-05 10:15:00+05:30,44.33000183,0,0,0,100000,Sell Hold,100000,12,17
Short Sell,2023-01-05 10:15:00+05:30,44.33000183,2255,0,99964.15413,35.84587097,Sell Hold,100000,12,17
Buy,2023-01-05 11:15:00+05:30,44.15000153,2265,0,99999.75346,0.246543884,Buy,100035.5993,12,17
Buy Hold,2023-01-05 11:15:00+05:30,44.15000153,2265,0,99999.75346,0.246543884,Buy Hold,100035.5993,12,17
Buy Hold,2023-01-05 12:15:00+05:30,44.20000076,2265,113.2482719,100113.0017,0.246543884,Buy Hold,100148.8476,12,17
Buy Hold,2023-01-05 13:15:00+05:30,44.13999939,2265,-135.9031105,99977.09862,0.246543884,Buy Hold,100012.9445,12,17
Buy Hold,2023-01-05 14:15:00+05:30,44.34000015,2265,453.0017281,100430.1003,0.246543884,Buy Hold,100465.9462,12,17
Buy Hold,2023-01-05 15:15:00+05:30,44.41999817,2265,181.195507,100611.2959,0.246543884,Buy Hold,100647.1417,12,17
Buy Hold,2023-01-06 09:15:00+05:30,44.5,2265,181.2041473,100792.5,0.246543884,Buy Hold,100828.3459,12,17
Buy Hold,2023-01-06 10:15:00+05:30,44.25,2265,-566.25,100226.25,0.246543884,Buy Hold,100262.0959,12,17
Buy Hold,2023-01-06 11:15:00+05:30,44.20999908,2265,-90.60207367,100135.6479,0.246543884,Buy Hold,100171.4938,12,17
Buy Hold,2023-01-06 12:15:00+05:30,44.25999832,2265,113.2482719,100248.8962,0.246543884,Buy Hold,100284.7421,12,17
Buy Hold,2023-01-06 13:15:00+05:30,44.09999847,2265,-362.3996544,99886.49654,0.246543884,Buy Hold,99922.34241,12,17
Buy Hold,2023-01-06 14:15:00+05:30,44.24000168,2265,317.1072578,100203.6038,0.246543884,Buy Hold,100239.4497,12,17
Buy Hold,2023-01-06 15:15:00+05:30,44.20000076,2265,-90.60207367,100113.0017,0.246543884,Buy Hold,100148.8476,12,17
Buy Hold,2023-01-09 09:15:00+05:30,44.59999847,2265,905.9948158,101018.9965,0.246543884,Buy Hold,101054.8424,12,17
Buy Hold,2023-01-09 10:15:00+05:30,44.29999924,2265,-679.4982719,100339.4983,0.246543884,Buy Hold,100375.3441,12,17
Sell,2023-01-09 10:15:00+05:30,44.29999924,0,0,0,0.246543884,Sell Hold,101054.8424,12,17
Short Sell,2023-01-09 10:15:00+05:30,44.29999924,2281,0,101048.2983,6.544155121,Sell Hold,101054.8424,12,17
Short Sell,2023-01-09 13:15:00+05:30,44.29999924,2281,0,101048.2983,6.544155121,Sell Hold,101054.8424,12,17
Short Sell,2023-01-09 14:15:00+05:30,44.25,2283,-25.54825974,101022.75,32.09241486,Sell Hold,101029.2942,12,17
Short Sell,2023-01-09 15:15:00+05:30,44.25999832,2282,-21.43383026,101001.3162,27.97798538,Sell Hold,101007.8603,12,17
Buy,2023-01-10 09:15:00+05:30,44.41999817,2273,0,100966.6558,41.20448685,Buy,100973.2,12,17
Buy Hold,2023-01-10 09:15:00+05:30,44.41999817,2273,0,100966.6558,41.20448685,Buy Hold,100973.2,12,17
Buy Hold,2023-01-10 10:15:00+05:30,44.40000153,2273,-45.45236969,100921.2035,41.20448685,Buy Hold,100927.7476,12,17
Buy Hold,2023-01-10 12:15:00+05:30,44.20000076,2273,-454.6017342,100466.6017,41.20448685,Buy Hold,100473.1459,12,17
Buy Hold,2023-01-11 09:15:00+05:30,44.29000092,2273,204.5703468,100671.1721,41.20448685,Buy Hold,100677.7162,12,17
Buy Hold,2023-01-11 11:15:00+05:30,44.15999985,2273,-295.4924278,100375.6797,41.20448685,Buy Hold,100382.2238,12,17
Sell,2023-01-11 11:15:00+05:30,44.15999985,0,0,0,41.20448685,Sell Hold,100677.7162,12,17
Short Sell,2023-01-11 11:15:00+05:30,44.15999985,2279,0,100640.6397,37.07658386,Sell Hold,100677.7162,12,17
Short Sell,2023-01-11 15:15:00+05:30,43.95999908,2290,27.75825119,100668.3979,9.318332672,Sell Hold,100705.4745,12,17
Short Sell,2023-01-12 09:15:00+05:30,44.25999832,2275,23.09827805,100691.4962,13.97830582,Sell Hold,100728.5728,12,17
Buy,2023-01-12 10:15:00+05:30,44.25999832,2275,0,100691.4962,37.07658386,Buy,100728.5728,12,17
Buy Hold,2023-01-12 10:15:00+05:30,44.25999832,2275,0,100691.4962,37.07658386,Buy Hold,100728.5728,12,17
Buy Hold,2023-01-12 11:15:00+05:30,44.31000137,2275,113.7569427,100805.2531,37.07658386,Buy Hold,100842.3297,12,17
Buy Hold,2023-01-12 13:15:00+05:30,44.09999847,2275,-477.7565956,100327.4965,37.07658386,Buy Hold,100364.5731,12,17
Buy Hold,2023-01-12 14:15:00+05:30,44.09999847,2275,0,100327.4965,37.07658386,Buy Hold,100364.5731,12,17
Buy Hold,2023-01-13 09:15:00+05:30,44.36000061,2275,591.5048599,100919.0014,37.07658386,Buy Hold,100956.078,12,17
Buy Hold,2023-01-13 10:15:00+05:30,44.22000122,2275,-318.4986115,100600.5028,37.07658386,Buy Hold,100637.5794,12,17
Buy Hold,2023-01-16 09:15:00+05:30,44.54999924,2275,750.7454872,101351.2483,37.07658386,Buy Hold,101388.3248,12,17
Buy Hold,2023-01-16 10:15:00+05:30,44.63000107,2275,182.0041656,101533.2524,37.07658386,Buy Hold,101570.329,12,17
Buy Hold,2023-01-16 12:15:00+05:30,44.40999985,2275,-500.5027771,101032.7497,37.07658386,Buy Hold,101069.8262,12,17
Buy Hold,2023-01-16 14:15:00+05:30,44.38000107,2275,-68.2472229,100964.5024,37.07658386,Buy Hold,101001.579,12,17
Sell,2023-01-16 14:15:00+05:30,44.38000107,0,0,0,37.07658386,Sell Hold,101069.8262,12,17
Short Sell,2023-01-16 14:15:00+05:30,44.38000107,2277,0,101053.2624,16.56380463,Sell Hold,101069.8262,12,17
Short Sell,2023-01-17 09:15:00+05:30,44.40999985,2275,-20.51277924,101032.7497,37.07658386,Sell Hold,101049.3135,12,17
Short Sell,2023-01-17 10:15:00+05:30,44.22000122,2285,9.953136444,101042.7028,6.610668182,Sell Hold,101059.2666,12,17
Short Sell,2023-01-17 12:15:00+05:30,44.13999939,2289,-6.244186401,101036.4586,22.80799103,Sell Hold,101053.0224,12,17
Short Sell,2023-01-17 13:15:00+05:30,44.25999832,2283,9.117565155,101045.5762,7.446239471,Sell Hold,101062.14,12,17
Short Sell,2023-01-17 14:15:00+05:30,44.31999969,2280,4.023136139,101049.5993,12.54066849,Sell Hold,101066.1631,12,17
Short Sell,2023-01-18 09:15:00+05:30,44.38999939,2276,-17.96069336,101031.6386,34.52449799,Sell Hold,101048.2024,12,17
Short Sell,2023-01-18 10:15:00+05:30,44.20000076,2286,9.56313324,101041.2017,7.000671387,Sell Hold,101057.7655,12,17
Short Sell,2023-01-18 11:15:00+05:30,44.38000107,2277,12.06068802,101053.2624,4.503116608,Sell Hold,101069.8262,12,17
Short Sell,2023-01-18 12:15:00+05:30,44.90999985,2250,-5.762775421,101047.4997,22.32658005,Sell Hold,101064.0635,12,17
Buy,2023-01-18 13:15:00+05:30,44.29999924,2281,0,101048.2983,15.76520157,Buy,101064.8621,12,17
Buy Hold,2023-01-18 13:15:00+05:30,44.29999924,2281,0,101048.2983,15.76520157,Buy Hold,101064.8621,12,17
Buy Hold,2023-01-18 14:15:00+05:30,44.5,2281,456.2017403,101504.5,15.76520157,Buy Hold,101521.0638,12,17
Buy Hold,2023-01-18 15:15:00+05:30,44.49000168,2281,-22.80617142,101481.6938,15.76520157,Buy Hold,101498.2576,12,17
Buy Hold,2023-01-19 09:15:00+05:30,44.15000153,2281,-775.5403481,100706.1535,15.76520157,Buy Hold,100722.7173,12,17
Buy Hold,2023-01-19 11:15:00+05:30,44.20000076,2281,114.0482597,100820.2017,15.76520157,Buy Hold,100836.7655,12,17
Buy Hold,2023-01-19 12:15:00+05:30,44.29999924,2281,228.0965195,101048.2983,15.76520157,Buy Hold,101064.8621,12,17
Sell,2023-01-19 12:15:00+05:30,44.29999924,0,0,0,15.76520157,Sell Hold,100836.7655,12,17
Short Sell,2023-01-19 12:15:00+05:30,44.29999924,2276,0,100826.7983,9.967281342,Sell Hold,100836.7655,12,17
Short Sell,2023-01-19 13:15:00+05:30,44.20000076,2281,-6.596523285,100820.2017,16.56380463,Sell Hold,100830.169,12,17
Short Sell,2023-01-19 14:15:00+05:30,44.15000153,2283,-25.74825668,100794.4535,35.71553802,Sell Hold,100804.4208,12,17
Short Sell,2023-01-19 15:15:00+05:30,44.18000031,2281,-19.87278748,100774.5807,29.84006882,Sell Hold,100784.548,12,17
Short Sell,2023-01-20 09:15:00+05:30,44.29999924,2275,7.917568207,100782.4983,2.049713135,Sell Hold,100792.4655,12,17
Short Sell,2023-01-20 10:15:00+05:30,44.56999969,2261,-9.728954315,100772.7693,19.69623566,Sell Hold,100782.7366,12,17
Buy,2023-01-20 11:15:00+05:30,44.29000092,2275,0,100759.7521,22.98450851,Buy,100769.7194,12,17
Buy Hold,2023-01-20 11:15:00+05:30,44.29000092,2275,0,100759.7521,22.98450851,Buy Hold,100769.7194,12,17
Buy Hold,2023-01-20 12:15:00+05:30,44.29000092,2275,0,100759.7521,22.98450851,Buy Hold,100769.7194,12,17
Buy Hold,2023-01-20 13:15:00+05:30,44.24000168,2275,-113.7482643,100646.0038,22.98450851,Buy Hold,100655.9711,12,17
Buy Hold,2023-01-20 14:15:00+05:30,44,2275,-546.0038185,100100,22.98450851,Buy Hold,100109.9673,12,17
Buy Hold,2023-01-20 15:15:00+05:30,44.20000076,2275,455.0017357,100555.0017,22.98450851,Buy Hold,100564.969,12,17
Buy Hold,2023-01-23 09:15:00+05:30,44.29000092,2275,204.7503471,100759.7521,22.98450851,Buy Hold,100769.7194,12,17
Buy Hold,2023-01-23 10:15:00+05:30,44.04000092,2275,-568.75,100191.0021,22.98450851,Buy Hold,100200.9694,12,17
Buy Hold,2023-01-23 11:15:00+05:30,43.86999893,2275,-386.7545128,99804.24757,22.98450851,Buy Hold,99814.21485,12,17
Buy Hold,2023-01-23 12:15:00+05:30,44.13999939,2275,614.2510414,100418.4986,22.98450851,Buy Hold,100428.4659,12,17
Sell,2023-01-23 12:15:00+05:30,44.13999939,0,0,0,22.98450851,Sell Hold,99814.21485,12,17
Short Sell,2023-01-23 12:15:00+05:30,44.13999939,2261,0,99800.53862,13.67623138,Sell Hold,99814.21485,12,17
Buy,2023-01-23 13:15:00+05:30,44.15000153,2260,0,99779.00345,35.21140289,Buy,99792.67968,12,17
Buy Hold,2023-01-23 13:15:00+05:30,44.15000153,2260,0,99779.00345,35.21140289,Buy Hold,99792.67968,12,17
Buy Hold,2023-01-23 14:15:00+05:30,44.09999847,2260,-113.006897,99665.99655,35.21140289,Buy Hold,99679.67278,12,17
Buy Hold,2023-01-23 15:15:00+05:30,44.13000107,2260,67.80586243,99733.80241,35.21140289,Buy Hold,99747.47865,12,17
Buy Hold,2023-01-24 09:15:00+05:30,44.04999924,2260,-180.8041382,99552.99828,35.21140289,Buy Hold,99566.67451,12,17
Buy Hold,2023-01-24 13:15:00+05:30,44.20000076,2260,339.0034485,99892.00172,35.21140289,Buy Hold,99905.67796,12,17
Buy Hold,2023-01-24 14:15:00+05:30,44.13000107,2260,-158.1993103,99733.80241,35.21140289,Buy Hold,99747.47865,12,17
Buy Hold,2023-01-24 15:15:00+05:30,44.00999832,2260,-271.2062073,99462.59621,35.21140289,Buy Hold,99476.27244,12,17
Buy Hold,2023-01-25 09:15:00+05:30,43.40000153,2260,-1378.592758,98084.00345,35.21140289,Buy Hold,98097.67968,12,17
Buy Hold,2023-01-25 10:15:00+05:30,43.20999908,2260,-429.4055176,97654.59793,35.21140289,Buy Hold,97668.27416,12,17
Buy Hold,2023-01-25 12:15:00+05:30,43.22000122,2260,22.60482788,97677.20276,35.21140289,Buy Hold,97690.87899,12,17
Buy Hold,2023-01-25 13:15:00+05:30,43.22000122,2260,0,97677.20276,35.21140289,Buy Hold,97690.87899,12,17
Buy Hold,2023-01-25 14:15:00+05:30,42.90000153,2260,-723.1993103,96954.00345,35.21140289,Buy Hold,96967.67968,12,17
Buy Hold,2023-01-25 15:15:00+05:30,42.81999969,2260,-180.8041382,96773.19931,35.21140289,Buy Hold,96786.87554,12,17
Buy Hold,2023-01-27 09:15:00+05:30,42.81999969,2260,0,96773.19931,35.21140289,Buy Hold,96786.87554,12,17
Buy Hold,2023-01-27 10:15:00+05:30,42,2260,-1853.19931,94920,35.21140289,Buy Hold,94933.67623,12,17
Buy Hold,2023-01-27 11:15:00+05:30,41.59999847,2260,-904.0034485,94015.99655,35.21140289,Buy Hold,94029.67278,12,17
Buy Hold,2023-01-27 12:15:00+05:30,42.54999924,2260,2147.001724,96162.99828,35.21140289,Buy Hold,96176.67451,12,17
Buy Hold,2023-01-27 13:15:00+05:30,42.81000137,2260,587.6048279,96750.6031,35.21140289,Buy Hold,96764.27934,12,17
Buy Hold,2023-01-27 14:15:00+05:30,43.70000076,2260,2011.398621,98762.00172,35.21140289,Buy Hold,98775.67796,12,17
Buy Hold,2023-01-27 15:15:00+05:30,44.15000153,2260,1017.001724,99779.00345,35.21140289,Buy Hold,99792.67968,12,17
Buy Hold,2023-01-30 09:15:00+05:30,41.20999908,2260,-6644.405518,93134.59793,35.21140289,Buy Hold,93148.27416,12,17
Buy Hold,2023-01-30 10:15:00+05:30,41,2260,-474.5979309,92660,35.21140289,Buy Hold,92673.67623,12,17
Buy Hold,2023-01-30 11:15:00+05:30,41.09999847,2260,225.9965515,92885.99655,35.21140289,Buy Hold,92899.67278,12,17
Buy Hold,2023-01-30 12:15:00+05:30,40.95000076,2260,-338.9948273,92547.00172,35.21140289,Buy Hold,92560.67796,12,17
Buy Hold,2023-01-30 13:15:00+05:30,40.79999924,2260,-339.0034485,92207.99828,35.21140289,Buy Hold,92221.67451,12,17
Buy Hold,2023-01-30 14:15:00+05:30,41.43999863,2260,1446.398621,93654.3969,35.21140289,Buy Hold,93668.07313,12,17
Buy Hold,2023-01-30 15:15:00+05:30,41.47999954,2260,90.40206909,93744.79897,35.21140289,Buy Hold,93758.4752,12,17
Buy Hold,2023-01-31 09:15:00+05:30,41.54000092,2260,135.6031036,93880.40207,35.21140289,Buy Hold,93894.0783,12,17
Buy Hold,2023-01-31 10:15:00+05:30,41.36000061,2260,-406.8006897,93473.60138,35.21140289,Buy Hold,93487.27761,12,17
Buy Hold,2023-01-31 11:15:00+05:30,41.33000183,2260,-67.79724121,93405.80414,35.21140289,Buy Hold,93419.48037,12,17
Buy Hold,2023-01-31 13:15:00+05:30,41.45999908,2260,293.7937927,93699.59793,35.21140289,Buy Hold,93713.27416,12,17
Buy Hold,2023-01-31 14:15:00+05:30,41.75,2260,655.4020691,94355,35.21140289,Buy Hold,94368.67623,12,17
Buy Hold,2023-02-01 09:15:00+05:30,41.70999908,2260,-90.40206909,94264.59793,35.21140289,Buy Hold,94278.27416,12,17
Buy Hold,2023-02-01 10:15:00+05:30,41.79999924,2260,203.4003448,94467.99828,35.21140289,Buy Hold,94481.67451,12,17
Buy Hold,2023-02-01 11:15:00+05:30,41.63000107,2260,-384.1958618,94083.80241,35.21140289,Buy Hold,94097.47865,12,17
Buy Hold,2023-02-01 12:15:00+05:30,41.68999863,2260,135.5944824,94219.3969,35.21140289,Buy Hold,94233.07313,12,17
Buy Hold,2023-02-01 13:15:00+05:30,41,2260,-1559.396896,92660,35.21140289,Buy Hold,92673.67623,12,17
Sell,2023-02-01 13:15:00+05:30,41,0,0,0,35.21140289,Sell Hold,94233.07313,12,17
Short Sell,2023-02-01 13:15:00+05:30,41,2298,0,94218,15.07312775,Sell Hold,94233.07313,12,17
Short Sell,2023-02-01 14:15:00+05:30,41,2298,0,94218,15.07312775,Sell Hold,94233.07313,12,17
Short Sell,2023-02-01 15:15:00+05:30,41,2298,0,94218,15.07312775,Sell Hold,94233.07313,12,17
Short Sell,2023-02-02 09:15:00+05:30,40.63999939,2318,-14.48141479,94203.51859,29.55454254,Sell Hold,94218.59171,12,17
Buy,2023-02-02 10:15:00+05:30,40.65000153,2317,0,94186.05354,32.53817749,Buy,94201.12666,12,17
Buy Hold,2023-02-02 10:15:00+05:30,40.65000153,2317,0,94186.05354,32.53817749,Buy Hold,94201.12666,12,17
Buy Hold,2023-02-02 11:15:00+05:30,40.61999893,2317,-69.51601028,94116.53753,32.53817749,Buy Hold,94131.61065,12,17
Buy Hold,2023-02-02 12:15:00+05:30,40.65999985,2317,92.68212128,94209.21965,32.53817749,Buy Hold,94224.29277,12,17
Buy Hold,2023-02-02 13:15:00+05:30,40.59999847,2317,-139.0231819,94070.19646,32.53817749,Buy Hold,94085.26959,12,17
Buy Hold,2023-02-02 14:15:00+05:30,40.65999985,2317,139.0231819,94209.21965,32.53817749,Buy Hold,94224.29277,12,17
Buy Hold,2023-02-02 15:15:00+05:30,40.65999985,2317,0,94209.21965,32.53817749,Buy Hold,94224.29277,12,17
Buy Hold,2023-02-03 09:15:00+05:30,40.63000107,2317,-69.50717163,94139.71247,32.53817749,Buy Hold,94154.7856,12,17
Buy Hold,2023-02-03 10:15:00+05:30,40.22999954,2317,-926.8035355,93212.90894,32.53817749,Buy Hold,93227.98207,12,17
Buy Hold,2023-02-03 11:15:00+05:30,40.50999832,2317,648.7571716,93861.66611,32.53817749,Buy Hold,93876.73924,12,17
Buy Hold,2023-02-03 12:15:00+05:30,40.5,2317,-23.16611099,93838.5,32.53817749,Buy Hold,93853.57313,12,17
Buy Hold,2023-02-03 13:15:00+05:30,40.75,2317,579.25,94417.75,32.53817749,Buy Hold,94432.82313,12,17
Buy Hold,2023-02-03 14:15:00+05:30,40.70000076,2317,-115.8482323,94301.90177,32.53817749,Buy Hold,94316.9749,12,17
Buy Hold,2023-02-03 15:15:00+05:30,40.63999939,2317,-139.0231819,94162.87859,32.53817749,Buy Hold,94177.95171,12,17
Buy Hold,2023-02-06 09:15:00+05:30,40.70000076,2317,139.0231819,94301.90177,32.53817749,Buy Hold,94316.9749,12,17
Buy Hold,2023-02-06 10:15:00+05:30,40.70000076,2317,0,94301.90177,32.53817749,Buy Hold,94316.9749,12,17
Buy Hold,2023-02-06 11:15:00+05:30,40.74000168,2317,92.68212128,94394.58389,32.53817749,Buy Hold,94409.65702,12,17
Buy Hold,2023-02-06 12:15:00+05:30,40.74000168,2317,0,94394.58389,32.53817749,Buy Hold,94409.65702,12,17
Buy Hold,2023-02-06 13:15:00+05:30,40.95999908,2317,509.7339897,94904.31788,32.53817749,Buy Hold,94919.39101,12,17
Sell,2023-02-06 13:15:00+05:30,40.95999908,0,0,0,32.53817749,Sell Hold,94409.65702,12,17
Short Sell,2023-02-06 13:15:00+05:30,40.95999908,2304,0,94371.83789,37.81912613,Sell Hold,94409.65702,12,17
Short Sell,2023-02-06 14:15:00+05:30,41.02999878,2300,-2.840698242,94368.99719,40.65982437,Sell Hold,94406.81632,12,17
Short Sell,2023-02-06 15:15:00+05:30,41.08000183,2298,32.84701538,94401.84421,4.972110748,Sell Hold,94439.66333,12,17
Short Sell,2023-02-07 09:15:00+05:30,41.18000031,2293,23.896492,94425.7407,13.92263412,Sell Hold,94463.55983,12,17
Short Sell,2023-02-07 10:15:00+05:30,41.11000061,2297,3.930702209,94429.6714,33.88842392,Sell Hold,94467.49053,12,17
Short Sell,2023-02-07 11:15:00+05:30,41,2304,34.32859802,94464,3.490528107,Sell Hold,94501.81913,12,17
Short Sell,2023-02-07 12:15:00+05:30,40.88999939,2311,32.78858948,94496.78859,5.030536652,Sell Hold,94534.60772,12,17
Short Sell,2023-02-07 13:15:00+05:30,40.86999893,2313,35.51893997,94532.30753,2.300186157,Sell Hold,94570.12666,12,17
Short Sell,2023-02-07 14:15:00+05:30,40.61999893,2328,31.04998398,94563.35751,6.769142151,Sell Hold,94601.17664,12,17
Short Sell,2023-02-07 15:15:00+05:30,40.65999985,2326,11.80213165,94575.15965,26.01699448,Sell Hold,94612.97877,12,17
Short Sell,2023-02-08 09:15:00+05:30,41.15000153,2299,28.69386292,94603.85351,9.125263214,Sell Hold,94641.67263,12,17
Short Sell,2023-02-08 10:15:00+05:30,41.06000137,2304,-1.610343933,94602.24316,39.42947006,Sell Hold,94640.06229,12,17
Short Sell,2023-02-08 11:15:00+05:30,40.93000031,2312,27.9175415,94630.16071,9.901584625,Sell Hold,94667.97983,12,17
Short Sell,2023-02-08 12:15:00+05:30,41.5,2281,31.33929443,94661.5,6.479831696,Sell Hold,94699.31913,12,17
