Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Short Sell - Buy,44.33000183105469,2023-01-05 10:15:00+05:30,44.150001525878906,2023-01-05 11:15:00+05:30,99964.15412902832,99964.15412902832,0.0,99999.75345611572,99999.75345611572,0.0,-0.0356120925521489
Buy - Sell,44.150001525878906,2023-01-05 11:15:00+05:30,44.29999923706055,2023-01-09 10:15:00+05:30,99999.75345611572,100339.49827194214,339.744815826416,101018.99654388428,99886.49654388428,1.019245600656249,0.0
Short Sell - Buy,44.29999923706055,2023-01-09 10:15:00+05:30,44.41999816894531,2023-01-10 09:15:00+05:30,101048.29825973512,101001.31616973875,46.982089996366994,101048.29825973512,100966.6558380127,0.0,0.08079544448395609
Buy - Sell,44.41999816894531,2023-01-10 09:15:00+05:30,44.15999984741211,2023-01-11 11:15:00+05:30,100966.6558380127,100375.67965316772,-590.9761848449707,100966.6558380127,100466.60173416138,0.0,0.0
Short Sell - Buy,44.29999923706055,2023-01-09 13:15:00+05:30,44.2599983215332,2023-01-12 10:15:00+05:30,101048.29825973512,100691.49618148804,356.80207824708486,101022.75,100375.67965316772,0.0,0.6656407066237718
Buy - Sell,44.2599983215332,2023-01-12 10:15:00+05:30,44.380001068115234,2023-01-16 14:15:00+05:30,100691.49618148804,100964.50242996216,273.0062484741211,101533.25242996216,100327.49652862547,0.8359755097460521,0.0
Short Sell - Buy,44.25,2023-01-09 14:15:00+05:30,44.29999923706055,2023-01-18 13:15:00+05:30,101022.75,101047.49965667725,-24.749656677246094,101533.25242996216,100327.49652862547,0.0,0.6882147549680901
Buy - Sell,44.29999923706055,2023-01-18 13:15:00+05:30,44.29999923706055,2023-01-19 12:15:00+05:30,101048.29825973512,101048.29825973512,0.0,101504.5,100706.1534805298,0.4514689986092141,0.0
Short Sell - Buy,44.2599983215332,2023-01-09 15:15:00+05:30,44.290000915527344,2023-01-20 11:15:00+05:30,101001.31616973875,100772.76930999756,228.54685974119639,101533.25242996216,100327.49652862547,0.0,0.6671394657678391
Buy - Sell,44.290000915527344,2023-01-20 11:15:00+05:30,44.13999938964844,2023-01-23 12:15:00+05:30,100759.7520828247,100418.4986114502,-341.2534713745117,100759.7520828247,99804.24757003784,0.0,0.0
Short Sell - Buy,44.15999984741211,2023-01-11 11:15:00+05:30,44.150001525878906,2023-01-23 13:15:00+05:30,100640.6396522522,99800.53861999512,840.1010322570801,101533.25242996216,99779.00344848631,0.0,0.8561513586788907
Buy - Sell,44.150001525878906,2023-01-23 13:15:00+05:30,41.0,2023-02-01 13:15:00+05:30,99779.00344848631,92660.0,-7119.003448486314,99892.00172424316,92207.99827575684,0.11324855114953016,0.0
Short Sell - Buy,43.959999084472656,2023-01-11 15:15:00+05:30,40.650001525878906,2023-02-02 10:15:00+05:30,100668.39790344238,94203.51858520508,6464.879318237305,101533.25242996216,92207.99827575684,0.0,8.404225957584492
Buy - Sell,40.650001525878906,2023-02-02 10:15:00+05:30,40.959999084472656,2023-02-06 13:15:00+05:30,94186.05353546144,94904.31787872314,718.2643432617042,94417.75,93212.90893936156,0.24599869709088615,0.0
Short Sell - Buy,44.2599983215332,2023-01-12 09:15:00+05:30,41.209999084472656,2023-02-09 09:15:00+05:30,100691.49618148804,94703.0,5988.496181488037,101533.25242996216,92207.99827575684,0.0,8.42523770869429
Buy - Sell,41.209999084472656,2023-02-09 09:15:00+05:30,40.90999984741211,2023-02-09 12:15:00+05:30,94700.57789611816,94011.17964935304,-689.3982467651222,94700.57789611816,94332.89824676514,0.0,0.0
Short Sell - Buy,44.380001068115234,2023-01-16 14:15:00+05:30,41.02999877929688,2023-02-10 12:15:00+05:30,101053.2624320984,94423.0,6630.262432098403,101504.5,92207.99827575684,0.0,8.753071344218148
Buy - Sell,41.02999877929688,2023-02-10 12:15:00+05:30,40.68999862670898,2023-02-15 15:15:00+05:30,94451.0571899414,93668.37683868408,-782.6803512573242,94727.30351257324,92517.37683868408,0.292475627960737,0.0
Short Sell - Buy,44.40999984741211,2023-01-17 09:15:00+05:30,40.56999969482422,2023-02-20 10:15:00+05:30,101032.74965286256,93443.61140441896,7589.1382484436035,101504.5,92207.99827575684,0.0,8.734545389912284
Buy - Sell,40.56999969482422,2023-02-20 10:15:00+05:30,39.709999084472656,2023-03-02 10:15:00+05:30,93473.279296875,91491.837890625,-1981.44140625,93934.0810546875,89856.0,0.49297698901626696,0.0
Short Sell - Buy,44.220001220703125,2023-01-17 10:15:00+05:30,40.5,2023-03-09 12:15:00+05:30,101042.70278930664,91737.99137878418,9304.711410522461,101504.5,89856.0,0.0,11.071262427167111
Buy - Sell,40.5,2023-03-09 12:15:00+05:30,40.40999984741211,2023-03-09 13:15:00+05:30,91732.5,91528.64965438844,-203.8503456115577,91732.5,91732.5,0.0,0.0
Short Sell - Buy,44.13999938964844,2023-01-17 12:15:00+05:30,40.08000183105469,2023-03-10 12:15:00+05:30,101036.45860290527,91696.20174026488,9340.256862640395,101504.5,89856.0,0.0,11.065766513894602
Buy - Sell,40.08000183105469,2023-03-10 12:15:00+05:30,42.209999084472656,2023-03-13 15:15:00+05:30,91703.04418945312,96576.47790527344,4873.4337158203125,96279.04418945312,91657.28314208984,4.990019732110803,0.0
Short Sell - Buy,44.2599983215332,2023-01-17 13:15:00+05:30,39.4900016784668,2023-03-14 15:15:00+05:30,101045.5761680603,96225.14814376833,4820.428024291978,101504.5,89856.0,0.0,11.073791245892503
Buy - Sell,39.4900016784668,2023-03-14 15:15:00+05:30,39.68000030517578,2023-03-16 14:15:00+05:30,96197.64408874512,96660.4807434082,462.83665466308594,96660.4807434082,95710.4422302246,0.48113096640506675,0.0
Short Sell - Buy,44.31999969482422,2023-01-17 14:15:00+05:30,39.75,2023-03-21 10:15:00+05:30,101049.59930419922,95979.0677871704,5070.531517028823,101504.5,89856.0,0.0,11.077331707671657
Buy - Sell,39.75,2023-03-21 10:15:00+05:30,40.31999969482422,2023-03-22 10:15:00+05:30,95996.25,97372.79926300047,1376.5492630004737,96841.49631500244,95972.10405349731,0.8804993059650157,0.0
Short Sell - Buy,44.38999938964844,2023-01-18 09:15:00+05:30,40.25,2023-03-24 13:15:00+05:30,101031.63861083984,96952.79814147948,4078.840469360366,101504.5,89856.0,0.0,11.061523661797555
Buy - Sell,40.25,2023-03-24 13:15:00+05:30,39.84000015258789,2023-03-31 10:15:00+05:30,96962.25,95974.56036758424,-987.6896324157569,96962.25,93613.74147033691,0.0,0.0
Short Sell - Buy,44.20000076293945,2023-01-18 10:15:00+05:30,40.61000061035156,2023-04-12 15:15:00+05:30,101041.2017440796,96627.9963684082,4413.205375671401,101504.5,89856.0,0.0,11.069941321966699
Buy - Sell,40.61000061035156,2023-04-12 15:15:00+05:30,40.59999847412109,2023-04-17 09:15:00+05:30,96651.80145263672,96627.9963684082,-23.805084228515625,96985.0,96318.60290527344,0.3447411660780704,0.0
Short Sell - Buy,44.380001068115234,2023-01-18 11:15:00+05:30,40.7400016784668,2023-04-20 11:15:00+05:30,101053.2624320984,96750.72290039062,4302.539531707778,101504.5,89856.0,0.0,11.080555107879151
Buy - Sell,40.7400016784668,2023-04-20 11:15:00+05:30,40.79999923706055,2023-04-25 09:15:00+05:30,96757.50398635864,96899.9981880188,142.49420166015625,96757.50398635864,96116.25289916992,0.0,0.0
Short Sell - Buy,44.90999984741211,2023-01-18 12:15:00+05:30,42.75,2023-05-11 09:15:00+05:30,101047.49965667725,96840.80722045898,4206.692436218262,101504.5,89856.0,0.0,11.075483999803955
Buy - Sell,42.75,2023-05-11 09:15:00+05:30,43.02000045776367,2023-05-11 15:15:00+05:30,96828.75,97440.30103683472,611.5510368347168,97327.05276489258,96828.75,0.514622738486842,0.0
Short Sell - Buy,44.29999923706055,2023-01-19 12:15:00+05:30,42.97999954223633,2023-05-17 13:15:00+05:30,100826.7982635498,96594.55171585084,4232.24654769896,100820.20174026488,89856.0,0.0,10.880835702898532
Buy - Sell,42.97999954223633,2023-05-17 13:15:00+05:30,43.400001525878906,2023-05-23 10:15:00+05:30,96576.05897140504,97519.8034286499,943.7444572448585,97070.40171432497,95295.269657135,0.5118688297958923,0.0
Short Sell - Buy,44.20000076293945,2023-01-19 13:15:00+05:30,44.79999923706055,2023-06-05 10:15:00+05:30,100820.20174026488,95289.59837722778,5530.603363037095,100794.45348358154,89856.0,0.0,10.875004761953448
Buy - Sell,44.79999923706055,2023-06-05 10:15:00+05:30,44.79999923706055,2023-06-05 12:15:00+05:30,95289.59837722778,95289.59837722778,0.0,95289.59837722778,94821.66389465332,0.0,0.0
Short Sell - Buy,44.150001525878906,2023-01-19 14:15:00+05:30,45.11000061035156,2023-06-09 12:15:00+05:30,100794.45348358154,95081.40159606934,5713.051887512207,100782.49826431274,89856.0,0.0,10.852237504679078
Buy - Sell,45.11000061035156,2023-06-09 12:15:00+05:30,45.5,2023-06-13 12:15:00+05:30,95091.8812866211,95914.0,822.1187133789062,95914.0,94522.72032165527,0.864551949393995,0.0
Short Sell - Buy,44.18000030517578,2023-01-19 15:15:00+05:30,45.869998931884766,2023-06-22 15:15:00+05:30,100774.58069610596,96390.0032043457,4384.577491760254,100782.49826431274,89856.0,0.0,10.834657530386394
Buy - Sell,45.869998931884766,2023-06-22 15:15:00+05:30,45.88999938964844,2023-06-30 09:15:00+05:30,96418.73775482178,96460.77871704102,42.04096221923828,96418.73775482178,94800.19679260254,0.0,0.0
Short Sell - Buy,44.29999923706055,2023-01-20 09:15:00+05:30,46.29999923706055,2023-07-10 11:15:00+05:30,100782.49826431274,96580.5,4201.998264312744,100772.76930999756,89856.0,0.0,10.84166244386684
Buy - Sell,46.29999923706055,2023-07-10 11:15:00+05:30,46.33000183105469,2023-07-12 12:15:00+05:30,96581.7984085083,96644.38381958008,62.585411071777344,97353.61618041992,96268.9031829834,0.7991337753383855,0.0
Short Sell - Buy,44.56999969482422,2023-01-20 10:15:00+05:30,46.150001525878906,2023-07-13 13:15:00+05:30,100772.76930999756,96808.9712677002,3963.7980422973633,100759.7520828247,89856.0,0.0,10.833054787266343
Buy - Sell,46.150001525878906,2023-07-13 13:15:00+05:30,47.220001220703125,2023-07-13 15:15:00+05:30,96822.70320129396,99067.56256103516,2244.8593597411964,97431.11711883543,96822.70320129396,0.6283793959734681,0.0
