Signal,Start Date,Start Close Price,End Date,End Close Price,Start Total Cash,End Total Cash,Total Cash Difference,% Difference,Remark
Sell - Buy,2023-01-05 10:15:00+05:30,44.33000183,2023-01-05 11:15:00+05:30,44.15000153,100000,100035.5993,35.59932709,0.035599327,Positive
Buy - Sell,2023-01-05 11:15:00+05:30,44.15000153,2023-01-09 10:15:00+05:30,44.29999924,100035.5993,100385.0659,349.466526,0.349342163,Positive
Sell - Buy,2023-01-09 10:15:00+05:30,44.29999924,2023-01-10 09:15:00+05:30,44.41999817,100385.0659,100973.2,588.13414,0.585878123,Positive
Buy - Sell,2023-01-10 09:15:00+05:30,44.41999817,2023-01-11 11:15:00+05:30,44.15999985,100973.2,100382.2238,-590.9761848,-0.585280238,Negative
Sell - Buy,2023-01-11 11:15:00+05:30,44.15999985,2023-01-12 10:15:00+05:30,44.25999832,100382.2238,100728.5728,346.3489571,0.34503017,Positive
Buy - Sell,2023-01-12 10:15:00+05:30,44.25999832,2023-01-16 14:15:00+05:30,44.38000107,100728.5728,100978.8185,250.2457275,0.248435693,Positive
Sell - Buy,2023-01-16 14:15:00+05:30,44.38000107,2023-01-18 13:15:00+05:30,44.29999924,100978.8185,101064.8621,86.04357147,0.085209525,Positive
Buy - Sell,2023-01-18 13:15:00+05:30,44.29999924,2023-01-19 12:15:00+05:30,44.29999924,101064.8621,101292.2643,227.4022675,0.225006261,Positive
Sell - Buy,2023-01-19 12:15:00+05:30,44.29999924,2023-01-20 11:15:00+05:30,44.29000092,101292.2643,100769.7194,-522.5449677,-0.515878454,Negative
Buy - Sell,2023-01-20 11:15:00+05:30,44.29000092,2023-01-23 12:15:00+05:30,44.13999939,100769.7194,100509.7647,-259.9546814,-0.257969044,Negative
Sell - Buy,2023-01-23 12:15:00+05:30,44.13999939,2023-01-23 13:15:00+05:30,44.15000153,100509.7647,99792.67968,-717.0850029,-0.713448096,Negative
Buy - Sell,2023-01-23 13:15:00+05:30,44.15000153,2023-02-01 13:15:00+05:30,41,99792.67968,94446.71054,-5345.969139,-5.357075445,Negative
Sell - Buy,2023-02-01 13:15:00+05:30,41,2023-02-02 10:15:00+05:30,40.65000153,94446.71054,94201.12666,-245.5838776,-0.260023749,Negative
