Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2
Initial,2023-01-02 09:15:00+05:30,1515.0,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-02 10:15:00+05:30,1513.8499755859375,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-02 11:15:00+05:30,1515.050048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-02 12:15:00+05:30,1520.0,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-02 13:15:00+05:30,1523.800048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-02 14:15:00+05:30,1522.550048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-02 15:15:00+05:30,1524.0,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-03 09:15:00+05:30,1527.8499755859375,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-03 10:15:00+05:30,1529.5,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-03 11:15:00+05:30,1528.800048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-03 12:15:00+05:30,1527.449951171875,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-03 13:15:00+05:30,1527.0999755859375,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-03 14:15:00+05:30,1523.550048828125,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-03 15:15:00+05:30,1521.0,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-04 09:15:00+05:30,1509.75,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-04 10:15:00+05:30,1498.699951171875,0,0.0,0.0,100000.0,None,100000.0,12,17
No Signal,2023-01-04 11:15:00+05:30,1497.1500244140625,0,0.0,0.0,100000.0,None,100000.0,12,17
Buy,2023-01-04 12:15:00+05:30,1497.6500244140625,66,0.0,98844.90161132812,1155.098388671875,Buy,100000.0,12,17
Buy Hold,2023-01-04 12:15:00+05:30,1497.6500244140625,66,0.0,98844.90161132812,1155.098388671875,Buy Hold,100000.0,12,17
Buy Hold,2023-01-04 13:15:00+05:30,1506.949951171875,66,613.795166015625,99458.69677734375,1155.098388671875,Buy Hold,100613.79516601562,12,17
Buy Hold,2023-01-04 14:15:00+05:30,1496.0,66,-722.69677734375,98736.0,1155.098388671875,Buy Hold,99891.09838867188,12,17
Buy Hold,2023-01-04 15:15:00+05:30,1495.0,66,-66.0,98670.0,1155.098388671875,Buy Hold,99825.09838867188,12,17
Buy Hold,2023-01-05 09:15:00+05:30,1492.300048828125,66,-178.19677734375,98491.80322265625,1155.098388671875,Buy Hold,99646.90161132812,12,17
Buy Hold,2023-01-05 10:15:00+05:30,1493.8499755859375,66,102.295166015625,98594.09838867188,1155.098388671875,Buy Hold,99749.19677734375,12,17
Buy Hold,2023-01-05 11:15:00+05:30,1485.199951171875,66,-570.901611328125,98023.19677734375,1155.098388671875,Buy Hold,99178.29516601562,12,17
Buy Hold,2023-01-05 12:15:00+05:30,1478.5999755859375,66,-435.598388671875,97587.59838867188,1155.098388671875,Buy Hold,98742.69677734375,12,17
Buy Hold,2023-01-05 13:15:00+05:30,1470.949951171875,66,-504.901611328125,97082.69677734375,1155.098388671875,Buy Hold,98237.79516601562,12,17
Buy Hold,2023-01-05 14:15:00+05:30,1475.0,66,267.30322265625,97350.0,1155.098388671875,Buy Hold,98505.09838867188,12,17
Buy Hold,2023-01-05 15:15:00+05:30,1475.5999755859375,66,39.598388671875,97389.59838867188,1155.098388671875,Buy Hold,98544.69677734375,12,17
Buy Hold,2023-01-06 09:15:00+05:30,1463.449951171875,66,-801.901611328125,96587.69677734375,1155.098388671875,Buy Hold,97742.79516601562,12,17
Buy Hold,2023-01-06 10:15:00+05:30,1456.699951171875,66,-445.5,96142.19677734375,1155.098388671875,Buy Hold,97297.29516601562,12,17
Buy Hold,2023-01-06 11:15:00+05:30,1456.800048828125,66,6.6064453125,96148.80322265625,1155.098388671875,Buy Hold,97303.90161132812,12,17
Buy Hold,2023-01-06 12:15:00+05:30,1452.0,66,-316.80322265625,95832.0,1155.098388671875,Buy Hold,96987.09838867188,12,17
Buy Hold,2023-01-06 13:15:00+05:30,1451.449951171875,66,-36.30322265625,95795.69677734375,1155.098388671875,Buy Hold,96950.79516601562,12,17
Buy Hold,2023-01-06 14:15:00+05:30,1448.5,66,-194.69677734375,95601.0,1155.098388671875,Buy Hold,96756.09838867188,12,17
Buy Hold,2023-01-06 15:15:00+05:30,1449.800048828125,66,85.80322265625,95686.80322265625,1155.098388671875,Buy Hold,96841.90161132812,12,17
Buy Hold,2023-01-09 09:15:00+05:30,1472.25,66,1481.69677734375,97168.5,1155.098388671875,Buy Hold,98323.59838867188,12,17
Buy Hold,2023-01-09 10:15:00+05:30,1483.5999755859375,66,749.098388671875,97917.59838867188,1155.098388671875,Buy Hold,99072.69677734375,12,17
Buy Hold,2023-01-09 11:15:00+05:30,1488.300048828125,66,310.204833984375,98227.80322265625,1155.098388671875,Buy Hold,99382.90161132812,12,17
Buy Hold,2023-01-09 12:15:00+05:30,1483.75,66,-300.30322265625,97927.5,1155.098388671875,Buy Hold,99082.59838867188,12,17
Buy Hold,2023-01-09 13:15:00+05:30,1485.300048828125,66,102.30322265625,98029.80322265625,1155.098388671875,Buy Hold,99184.90161132812,12,17
Buy Hold,2023-01-09 14:15:00+05:30,1484.5,66,-52.80322265625,97977.0,1155.098388671875,Buy Hold,99132.09838867188,12,17
Buy Hold,2023-01-09 15:15:00+05:30,1484.4000244140625,66,-6.598388671875,97970.40161132812,1155.098388671875,Buy Hold,99125.5,12,17
Sell,2023-01-09 15:15:00+05:30,1484.4000244140625,0,0.0,0.0,1155.098388671875,Sell Hold,99132.09838867188,12,17
Short Sell,2023-01-09 15:15:00+05:30,1484.4000244140625,66,0.0,97970.40161132812,1161.69677734375,Sell Hold,99132.09838867188,12,17
Short Sell,2023-01-10 09:15:00+05:30,1463.0,67,50.598388671875,98021.0,1111.098388671875,Sell Hold,99182.69677734375,12,17
Short Sell,2023-01-10 10:15:00+05:30,1460.9000244140625,67,-140.6983642578125,97880.30163574219,1302.3951416015625,Sell Hold,99041.99841308594,12,17
Short Sell,2023-01-10 11:15:00+05:30,1464.0999755859375,67,214.396728515625,98094.69836425781,947.300048828125,Sell Hold,99256.39514160156,12,17
Short Sell,2023-01-10 12:15:00+05:30,1463.800048828125,67,-20.0950927734375,98074.60327148438,1181.7918701171875,Sell Hold,99236.30004882812,12,17
Short Sell,2023-01-10 13:15:00+05:30,1467.800048828125,67,268.0,98342.60327148438,893.69677734375,Sell Hold,99504.30004882812,12,17
Short Sell,2023-01-10 14:15:00+05:30,1469.25,67,97.146728515625,98439.75,1064.550048828125,Sell Hold,99601.44677734375,12,17
Short Sell,2023-01-10 15:15:00+05:30,1471.9000244140625,67,177.5516357421875,98617.30163574219,984.1451416015625,Sell Hold,99778.99841308594,12,17
Short Sell,2023-01-11 09:15:00+05:30,1487.25,67,1028.4483642578125,99645.75,133.2484130859375,Sell Hold,100807.44677734375,12,17
Buy,2023-01-11 10:15:00+05:30,1487.0,67,0.0,99629.0,1178.44677734375,Buy,100790.69677734375,12,17
Buy Hold,2023-01-11 10:15:00+05:30,1487.0,67,0.0,99629.0,1178.44677734375,Buy Hold,100790.69677734375,12,17
Buy Hold,2023-01-11 11:15:00+05:30,1479.800048828125,67,-482.396728515625,99146.60327148438,1178.44677734375,Buy Hold,100308.30004882812,12,17
Buy Hold,2023-01-11 12:15:00+05:30,1478.550048828125,67,-83.75,99062.85327148438,1178.44677734375,Buy Hold,100224.55004882812,12,17
Buy Hold,2023-01-11 13:15:00+05:30,1472.050048828125,67,-435.5,98627.35327148438,1178.44677734375,Buy Hold,99789.05004882812,12,17
Buy Hold,2023-01-11 14:15:00+05:30,1470.050048828125,67,-134.0,98493.35327148438,1178.44677734375,Buy Hold,99655.05004882812,12,17
Buy Hold,2023-01-11 15:15:00+05:30,1471.25,67,80.396728515625,98573.75,1178.44677734375,Buy Hold,99735.44677734375,12,17
Buy Hold,2023-01-12 09:15:00+05:30,1461.800048828125,67,-633.146728515625,97940.60327148438,1178.44677734375,Buy Hold,99102.30004882812,12,17
Sell,2023-01-12 09:15:00+05:30,1461.800048828125,0,0.0,0.0,1178.44677734375,Sell Hold,99735.44677734375,12,17
Short Sell,2023-01-12 09:15:00+05:30,1461.800048828125,68,0.0,99402.4033203125,333.04345703125,Sell Hold,99735.44677734375,12,17
Short Sell,2023-01-12 10:15:00+05:30,1463.5,68,115.5966796875,99518.0,217.44677734375,Sell Hold,99851.04345703125,12,17
Short Sell,2023-01-12 11:15:00+05:30,1468.800048828125,67,-1108.396728515625,98409.60327148438,1441.440185546875,Sell Hold,98742.64672851562,12,17
Short Sell,2023-01-12 12:15:00+05:30,1471.050048828125,67,150.75,98560.35327148438,182.29345703125,Sell Hold,98893.39672851562,12,17
Short Sell,2023-01-12 13:15:00+05:30,1474.550048828125,67,234.5,98794.85327148438,98.54345703125,Sell Hold,99127.89672851562,12,17
Short Sell,2023-01-12 14:15:00+05:30,1480.5999755859375,66,-1075.2548828125,97719.59838867188,1408.29833984375,Sell Hold,98052.64184570312,12,17
Buy,2023-01-12 15:15:00+05:30,1483.3499755859375,66,0.0,97901.09838867188,151.54345703125,Buy,98234.14184570312,12,17
Buy Hold,2023-01-12 15:15:00+05:30,1483.3499755859375,66,0.0,97901.09838867188,151.54345703125,Buy Hold,98234.14184570312,12,17
Buy Hold,2023-01-13 09:15:00+05:30,1475.0999755859375,66,-544.5,97356.59838867188,151.54345703125,Buy Hold,97689.64184570312,12,17
Buy Hold,2023-01-13 10:15:00+05:30,1494.0,66,1247.401611328125,98604.0,151.54345703125,Buy Hold,98937.04345703125,12,17
Buy Hold,2023-01-13 11:15:00+05:30,1500.550048828125,66,432.30322265625,99036.30322265625,151.54345703125,Buy Hold,99369.3466796875,12,17
Buy Hold,2023-01-13 12:15:00+05:30,1513.75,66,871.19677734375,99907.5,151.54345703125,Buy Hold,100240.54345703125,12,17
Sell,2023-01-13 12:15:00+05:30,1513.75,0,0.0,0.0,151.54345703125,Sell Hold,99369.3466796875,12,17
Short Sell,2023-01-13 12:15:00+05:30,1513.75,65,0.0,98393.75,975.5966796875,Sell Hold,99369.3466796875,12,17
Short Sell,2023-01-13 13:15:00+05:30,1518.300048828125,65,295.753173828125,98689.50317382812,679.843505859375,Sell Hold,99665.09985351562,12,17
Short Sell,2023-01-13 14:15:00+05:30,1503.449951171875,66,538.193603515625,99227.69677734375,437.403076171875,Sell Hold,100203.29345703125,12,17
Short Sell,2023-01-13 15:15:00+05:30,1503.9000244140625,66,29.704833984375,99257.40161132812,945.891845703125,Sell Hold,100232.99829101562,12,17
Short Sell,2023-01-16 09:15:00+05:30,1515.9000244140625,66,792.0,100049.40161132812,183.5966796875,Sell Hold,101024.99829101562,12,17
Short Sell,2023-01-16 10:15:00+05:30,1522.8499755859375,66,458.69677734375,100508.09838867188,516.89990234375,Sell Hold,101483.69506835938,12,17
Short Sell,2023-01-16 11:15:00+05:30,1517.449951171875,66,-356.401611328125,100151.69677734375,1331.998291015625,Sell Hold,101127.29345703125,12,17
Short Sell,2023-01-16 12:15:00+05:30,1523.949951171875,66,429.0,100580.69677734375,546.5966796875,Sell Hold,101556.29345703125,12,17
Short Sell,2023-01-16 13:15:00+05:30,1521.0,66,-194.69677734375,100386.0,1170.29345703125,Sell Hold,101361.5966796875,12,17
Short Sell,2023-01-16 14:15:00+05:30,1526.0999755859375,66,336.598388671875,100722.59838867188,638.998291015625,Sell Hold,101698.19506835938,12,17
Short Sell,2023-01-16 15:15:00+05:30,1523.75,66,-155.098388671875,100567.5,1130.695068359375,Sell Hold,101543.0966796875,12,17
Short Sell,2023-01-17 09:15:00+05:30,1536.699951171875,66,854.69677734375,101422.19677734375,120.89990234375,Sell Hold,102397.79345703125,12,17
Short Sell,2023-01-17 10:15:00+05:30,1533.9000244140625,66,-184.795166015625,101237.40161132812,1160.391845703125,Sell Hold,102212.99829101562,12,17
Short Sell,2023-01-17 11:15:00+05:30,1536.949951171875,66,201.295166015625,101438.69677734375,774.301513671875,Sell Hold,102414.29345703125,12,17
Short Sell,2023-01-17 12:15:00+05:30,1534.949951171875,66,-132.0,101306.69677734375,1107.5966796875,Sell Hold,102282.29345703125,12,17
Short Sell,2023-01-17 13:15:00+05:30,1536.4000244140625,66,95.704833984375,101402.40161132812,879.891845703125,Sell Hold,102377.99829101562,12,17
Short Sell,2023-01-17 14:15:00+05:30,1539.8499755859375,66,227.69677734375,101630.09838867188,747.89990234375,Sell Hold,102605.69506835938,12,17
Short Sell,2023-01-17 15:15:00+05:30,1538.800048828125,66,-69.295166015625,101560.80322265625,1044.891845703125,Sell Hold,102536.39990234375,12,17
Short Sell,2023-01-18 09:15:00+05:30,1546.6500244140625,66,518.098388671875,102078.90161132812,457.498291015625,Sell Hold,103054.49829101562,12,17
Short Sell,2023-01-18 10:15:00+05:30,1548.0,66,89.098388671875,102168.0,886.498291015625,Sell Hold,103143.5966796875,12,17
Short Sell,2023-01-18 11:15:00+05:30,1548.050048828125,66,3.30322265625,102171.30322265625,972.29345703125,Sell Hold,103146.89990234375,12,17
Short Sell,2023-01-18 12:15:00+05:30,1547.199951171875,66,-56.1064453125,102115.19677734375,1031.703125,Sell Hold,103090.79345703125,12,17
Short Sell,2023-01-18 13:15:00+05:30,1549.4000244140625,66,145.204833984375,102260.40161132812,830.391845703125,Sell Hold,103235.99829101562,12,17
Short Sell,2023-01-18 14:15:00+05:30,1545.050048828125,66,-287.098388671875,101973.30322265625,1262.695068359375,Sell Hold,102948.89990234375,12,17
Short Sell,2023-01-18 15:15:00+05:30,1544.75,66,-19.80322265625,101953.5,995.39990234375,Sell Hold,102929.0966796875,12,17
Short Sell,2023-01-19 09:15:00+05:30,1529.800048828125,67,543.103271484375,102496.60327148438,432.493408203125,Sell Hold,103472.19995117188,12,17
Short Sell,2023-01-19 10:15:00+05:30,1546.0999755859375,66,-454.0048828125,102042.59838867188,1429.6015625,Sell Hold,103018.19506835938,12,17
Short Sell,2023-01-19 11:15:00+05:30,1545.050048828125,66,-69.295166015625,101973.30322265625,1044.891845703125,Sell Hold,102948.89990234375,12,17
Short Sell,2023-01-19 12:15:00+05:30,1545.75,66,46.19677734375,102019.5,929.39990234375,Sell Hold,102995.0966796875,12,17
Short Sell,2023-01-19 13:15:00+05:30,1544.199951171875,66,-102.30322265625,101917.19677734375,1077.89990234375,Sell Hold,102892.79345703125,12,17
Short Sell,2023-01-19 14:15:00+05:30,1539.0,66,-343.19677734375,101574.0,1318.79345703125,Sell Hold,102549.5966796875,12,17
Short Sell,2023-01-19 15:15:00+05:30,1536.5,66,-165.0,101409.0,1140.5966796875,Sell Hold,102384.5966796875,12,17
Buy,2023-01-20 09:15:00+05:30,1535.0,66,0.0,101310.0,1074.5966796875,Buy,102285.5966796875,12,17
Buy Hold,2023-01-20 09:15:00+05:30,1535.0,66,0.0,101310.0,1074.5966796875,Buy Hold,102285.5966796875,12,17
