Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Avg %,Lowest Avg %
Initial,2023-01-02 09:15:00+05:30,1515.0,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-02 10:15:00+05:30,1513.8499755859375,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-02 11:15:00+05:30,1515.050048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-02 12:15:00+05:30,1520.0,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-02 13:15:00+05:30,1523.800048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-02 14:15:00+05:30,1522.550048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-02 15:15:00+05:30,1524.0,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-03 09:15:00+05:30,1527.8499755859375,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-03 10:15:00+05:30,1529.5,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-03 11:15:00+05:30,1528.800048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-03 12:15:00+05:30,1527.449951171875,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-03 13:15:00+05:30,1527.0999755859375,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-03 14:15:00+05:30,1523.550048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-03 15:15:00+05:30,1521.0,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-04 09:15:00+05:30,1509.75,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-04 10:15:00+05:30,1498.699951171875,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
No Signal,2023-01-04 11:15:00+05:30,1497.1500244140625,0,0.0,0.0,100000.0,,100000.0,12,17,,0.3662119970643814,23.23599604757969
