Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Buy - Sell,1497.6500244140625,2023-01-04 12:15:00+05:30,1484.4000244140625,2023-01-09 15:15:00+05:30,98844.90161132812,97970.40161132812,-874.5,99458.69677734376,95601.0,0.620967956879726,0.0
Short Sell - Buy,1484.4000244140625,2023-01-09 15:15:00+05:30,1487.0,2023-01-11 10:15:00+05:30,97970.40161132812,99645.75,-1675.348388671875,99645.75,97880.3016357422,0.0,0.09196652673056396
Buy - Sell,1487.0,2023-01-11 10:15:00+05:30,1461.800048828125,2023-01-12 09:15:00+05:30,99629.0,97940.60327148438,-1688.396728515625,99629.0,98493.35327148438,0.0,0.0
Short Sell - Buy,1463.0,2023-01-10 09:15:00+05:30,1483.3499755859375,2023-01-12 15:15:00+05:30,98021.0,97719.59838867188,301.401611328125,99645.75,97719.59838867188,0.0,0.3074867745974077
Buy - Sell,1483.3499755859375,2023-01-12 15:15:00+05:30,1513.75,2023-01-13 12:15:00+05:30,97901.09838867188,99907.5,2006.401611328125,99036.30322265624,97356.59838867188,1.1595424899908118,0.0
Short Sell - Buy,1460.9000244140625,2023-01-10 10:15:00+05:30,1535.0,2023-01-20 09:15:00+05:30,97880.3016357422,101409.0,-3528.698364257798,102496.60327148438,97356.59838867188,0.0,0.5350445782434026
Buy - Sell,1535.0,2023-01-20 09:15:00+05:30,1561.5,2023-01-24 09:15:00+05:30,101310.0,103059.0,1749.0,102399.0,100663.19677734376,1.0749185667752443,0.0
Short Sell - Buy,1464.0999755859375,2023-01-10 11:15:00+05:30,1541.800048828125,2023-01-25 15:15:00+05:30,98094.6983642578,98784.0,-689.301635742202,103125.0,97356.59838867188,0.0,0.7524361539347576
Buy - Sell,1541.800048828125,2023-01-25 15:15:00+05:30,1522.449951171875,2023-01-31 12:15:00+05:30,98675.203125,97436.796875,-1238.40625,98675.203125,96873.6015625,0.0,0.0
Short Sell - Buy,1463.800048828125,2023-01-10 12:15:00+05:30,1540.6500244140625,2023-02-01 11:15:00+05:30,98074.60327148438,98326.3984375,-251.795166015625,103125.0,95886.0,0.0,2.2315698442603042
