Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Charge,% Diff,High Avg %,Low Avg %
Initial,2023-01-02 09:15:00+05:30,1515,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-02 10:15:00+05:30,1513.849976,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-02 11:15:00+05:30,1515.050049,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-02 12:15:00+05:30,1520,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-02 13:15:00+05:30,1523.800049,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-02 14:15:00+05:30,1522.550049,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-02 15:15:00+05:30,1524,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-03 09:15:00+05:30,1527.849976,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-03 10:15:00+05:30,1529.5,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-03 11:15:00+05:30,1528.800049,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-03 12:15:00+05:30,1527.449951,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-03 13:15:00+05:30,1527.099976,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-03 14:15:00+05:30,1523.550049,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-03 15:15:00+05:30,1521,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-04 09:15:00+05:30,1509.75,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-04 10:15:00+05:30,1498.699951,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
No Signal,2023-01-04 11:15:00+05:30,1497.150024,0,0,0,100000,,100000,12,17,,,0.366211997,23.23599605
Buy,2023-01-04 12:15:00+05:30,1497.650024,66,0,98844.90161,1155.098389,Buy,100000,12,17,691.9143113,,0.366211997,23.23599605
Buy Hold,2023-01-04 12:15:00+05:30,1497.650024,66,0,98844.90161,1155.098389,Buy Hold,100000,12,17,,0,0.366211997,23.23599605
Buy Hold,2023-01-04 13:15:00+05:30,1506.949951,33,49115.55322,49729.34839,50536.34134,Buy Hold,100265.6897,12,17,348.1054387,0.620967957,0.366211997,23.23599605
Buy Hold,2023-01-04 14:15:00+05:30,1496,33,-361.3483887,49368,1155.098389,Buy Hold,99904.34134,12,17,,98.5467399,0.366211997,23.23599605
Buy Hold,2023-01-04 15:15:00+05:30,1495,33,-33,49335,1155.098389,Buy Hold,99871.34134,12,17,,99.86631016,0.366211997,23.23599605
Buy Hold,2023-01-05 09:15:00+05:30,1492.300049,33,-89.09838867,49245.90161,1155.098389,Buy Hold,99782.24295,12,17,,99.63880252,0.366211997,23.23599605
Buy Hold,2023-01-05 10:15:00+05:30,1493.849976,33,51.14758301,49297.04919,1155.098389,Buy Hold,99833.39053,12,17,,100.2077232,0.366211997,23.23599605
Buy Hold,2023-01-05 11:15:00+05:30,1485.199951,33,-285.4508057,49011.59839,1155.098389,Buy Hold,99547.93973,12,17,,98.84191525,0.366211997,23.23599605
Buy Hold,2023-01-05 12:15:00+05:30,1478.599976,33,-217.7991943,48793.79919,1155.098389,Buy Hold,99330.14053,12,17,,99.11123407,0.366211997,23.23599605
Buy Hold,2023-01-05 13:15:00+05:30,1470.949951,33,-252.4508057,48541.34839,1155.098389,Buy Hold,99077.68973,12,17,,98.96523407,0.366211997,23.23599605
Buy Hold,2023-01-05 14:15:00+05:30,1475,33,133.6516113,48675,1155.098389,Buy Hold,99211.34134,12,17,,100.5506712,0.366211997,23.23599605
Buy Hold,2023-01-05 15:15:00+05:30,1475.599976,33,19.79919434,48694.79919,1155.098389,Buy Hold,99231.14053,12,17,,100.0813526,0.366211997,23.23599605
Buy Hold,2023-01-06 09:15:00+05:30,1463.449951,33,-400.9508057,48293.84839,1155.098389,Buy Hold,98830.18973,12,17,,98.35320892,0.366211997,23.23599605
Buy Hold,2023-01-06 10:15:00+05:30,1456.699951,33,-222.75,48071.09839,1155.098389,Buy Hold,98607.43973,12,17,,99.07752226,0.366211997,23.23599605
Buy Hold,2023-01-06 11:15:00+05:30,1456.800049,33,3.303222656,48074.40161,1155.098389,Buy Hold,98610.74295,12,17,,100.0137431,0.366211997,23.23599605
Buy Hold,2023-01-06 12:15:00+05:30,1452,33,-158.4016113,47916,1155.098389,Buy Hold,98452.34134,12,17,,99.34101474,0.366211997,23.23599605
Buy Hold,2023-01-06 13:15:00+05:30,1451.449951,33,-18.15161133,47897.84839,1155.098389,Buy Hold,98434.18973,12,17,,99.9242357,0.366211997,23.23599605
Buy Hold,2023-01-06 14:15:00+05:30,1448.5,33,-97.34838867,47800.5,1155.098389,Buy Hold,98336.84134,12,17,,99.59351665,0.366211997,23.23599605
