Signal,Start Date,Start Close Price,End Date,End Close Price,Start Total Cash,End Total Cash,Total Cash Difference,% Difference,Remark
Buy - Sell,2024-01-08 11:30:00-05:00,479.8699951171875,2024-01-08 13:30:00-05:00,482.0950012207031,100000.0,100462.80126953124,462.80126953123545,0.46280126953123546,Positive
Sell - Buy,2024-01-08 13:30:00-05:00,482.0950012207031,2024-01-10 12:30:00-05:00,477.2742919921875,100462.80126953124,95959.01599121094,-4503.785278320298,-4.483037722825498,Negative
Buy - Sell,2024-01-10 12:30:00-05:00,477.2742919921875,2024-01-11 14:30:00-05:00,493.1199951171875,95959.01599121094,98381.61065673828,2422.5946655273438,2.524613909910491,Positive
Sell - Buy,2024-01-11 14:30:00-05:00,493.1199951171875,2024-01-16 13:30:00-05:00,479.7200012207031,98381.61065673828,100106.1124267578,1724.5017700195167,1.7528700318156496,Positive
Buy - Sell,2024-01-16 13:30:00-05:00,479.7200012207031,2024-01-18 14:30:00-05:00,484.8500061035156,100106.1124267578,100685.83837890624,579.7259521484375,0.5791114429426989,Positive
Sell - Buy,2024-01-18 14:30:00-05:00,484.8500061035156,2024-01-22 11:30:00-05:00,486.9299926757813,100685.83837890624,102110.5258178711,1424.6874389648583,1.4149829428875584,Positive
Buy - Sell,2024-01-22 11:30:00-05:00,486.9299926757813,2024-01-22 14:30:00-05:00,488.1600036621094,102110.5258178711,102367.59811401369,257.0722961425927,0.2517588603951745,Positive
Sell - Buy,2024-01-22 14:30:00-05:00,488.1600036621094,2024-01-30 10:30:00-05:00,564.4349975585938,102367.59811401369,101270.89685058594,-1096.701263427749,-1.0713363248068777,Negative
Buy - Sell,2024-01-30 10:30:00-05:00,564.4349975585938,2024-02-01 11:30:00-05:00,564.1099853515625,101270.89685058594,101229.86254882812,-41.0343017578125,-0.040519342707465204,Negative
Sell - Buy,2024-02-01 11:30:00-05:00,564.1099853515625,2024-02-02 11:30:00-05:00,566.260009765625,101229.86254882812,103005.76104736328,1775.8984985351562,1.7543227401682515,Positive
Buy - Sell,2024-02-02 11:30:00-05:00,566.260009765625,2024-02-08 09:30:00-05:00,556.7050170898438,103005.76104736328,101726.33215332033,-1279.4288940429542,-1.2420945013499365,Negative
Sell - Buy,2024-02-08 09:30:00-05:00,556.7050170898438,2024-02-09 09:30:00-05:00,560.8878784179688,101726.33215332033,103091.69659423828,1365.3644409179542,1.3421937191838378,Positive
Buy - Sell,2024-02-09 09:30:00-05:00,560.8878784179688,2024-02-12 09:30:00-05:00,563.2376098632812,103091.69659423828,103521.69744873048,430.00085449220205,0.4171052264128074,Positive
Sell - Buy,2024-02-12 09:30:00-05:00,563.2376098632812,2024-02-13 10:30:00-05:00,556.010009765625,103521.69744873048,101840.80938720705,-1680.8880615234375,-1.623706047088248,Negative
Buy - Sell,2024-02-13 10:30:00-05:00,556.010009765625,2024-02-14 13:30:00-05:00,575.0800170898438,101840.80938720705,103587.41931152344,1746.6099243163917,1.715039319528224,Positive
Sell - Buy,2024-02-14 13:30:00-05:00,575.0800170898438,2024-02-20 11:30:00-05:00,572.2000122070312,103587.41931152344,105063.89404296876,1476.474731445327,1.4253417463804687,Positive
Buy - Sell,2024-02-20 11:30:00-05:00,572.2000122070312,2024-02-22 11:30:00-05:00,586.52001953125,105063.89404296876,106588.63110351562,1524.7370605468604,1.4512474284679353,Positive
Sell - Buy,2024-02-22 11:30:00-05:00,586.52001953125,2024-02-26 11:30:00-05:00,589.1900024414062,106588.63110351562,107538.12225341795,949.4911499023292,0.8907996472721489,Positive
