Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Buy - Sell,479.8699951171875,2024-01-08 11:30:00-05:00,482.0950012207031,2024-01-08 13:30:00-05:00,99812.958984375,100275.76025390624,462.80126953123545,100115.6025390625,99812.958984375,0.30321068302852006,0.0
Short Sell - Buy,482.0950012207031,2024-01-08 13:30:00-05:00,477.2742919921875,2024-01-10 12:30:00-05:00,100275.76025390624,96381.3557434082,3894.4045104980323,99877.03924560548,95932.13269042967,0.0,4.331682504802906
Buy - Sell,477.2742919921875,2024-01-10 12:30:00-05:00,493.1199951171875,2024-01-11 14:30:00-05:00,95932.13269042967,99117.11901855467,3184.986328125,98921.4678955078,95932.13269042967,3.116093764666555,0.0
Short Sell - Buy,484.8399963378906,2024-01-08 14:30:00-05:00,479.7200012207031,2024-01-16 13:30:00-05:00,99877.03924560548,99796.76696777344,80.2722778320458,99895.1830444336,95932.13269042967,0.0,3.949763213820321
Buy - Sell,479.7200012207031,2024-01-16 13:30:00-05:00,484.8500061035156,2024-01-18 14:30:00-05:00,99781.76025390624,100848.80126953124,1067.041015625,100866.6064453125,99245.123046875,1.0872189352500374,0.0
Short Sell - Buy,484.9800109863281,2024-01-08 15:30:00-05:00,486.9299926757813,2024-01-22 11:30:00-05:00,99420.90225219728,101711.94076538086,-2291.038513183579,101889.79309082033,95932.13269042967,0.0,3.5090906265543396
Buy - Sell,486.9299926757813,2024-01-22 11:30:00-05:00,488.1600036621094,2024-01-22 14:30:00-05:00,101768.36846923828,102025.44076538086,257.0722961425781,101920.3157043457,101521.75,0.1493069382883457,0.0
Short Sell - Buy,476.1600036621094,2024-01-09 09:30:00-05:00,564.4349975585938,2024-01-30 10:30:00-05:00,99041.28076171876,100850.75415039062,-1809.4733886718604,102025.44076538086,95932.13269042967,0.0,3.1392446133338305
Buy - Sell,564.4349975585938,2024-01-30 10:30:00-05:00,564.1099853515625,2024-02-01 11:30:00-05:00,101033.86456298828,100975.68737792967,-58.1771850586083,102080.12524414062,100726.87475585938,1.0355544506565577,0.0
Short Sell - Buy,480.989990234375,2024-01-09 10:30:00-05:00,566.260009765625,2024-02-02 11:30:00-05:00,98602.94799804688,102322.9213256836,-3719.9733276367188,102493.06176757812,95932.13269042967,0.0,2.708656649566
Buy - Sell,566.260009765625,2024-02-02 11:30:00-05:00,556.7050170898438,2024-02-08 09:30:00-05:00,102493.06176757812,100763.60809326172,-1729.4536743164062,102552.20935058594,100661.3426513672,0.057708865349286306,0.0
Short Sell - Buy,483.3046875,2024-01-09 11:30:00-05:00,560.8878784179688,2024-02-09 09:30:00-05:00,98594.15625,102216.47955322266,-3622.3233032226562,102642.48175048828,95932.13269042967,0.0,2.699981074761038
Buy - Sell,560.8878784179688,2024-02-09 09:30:00-05:00,563.2376098632812,2024-02-12 09:30:00-05:00,102642.48175048828,103072.48260498048,430.00085449220205,103072.91821289062,102642.48175048828,0.41935508091930573,0.0
Short Sell - Buy,483.93499755859375,2024-01-09 12:30:00-05:00,556.010009765625,2024-02-13 10:30:00-05:00,98238.80450439452,101879.75463867188,-3640.9501342773583,103114.83044433594,95932.13269042967,0.0,2.3480251267325425
Buy - Sell,556.010009765625,2024-02-13 10:30:00-05:00,575.0800170898438,2024-02-14 13:30:00-05:00,101749.83178710938,105239.6431274414,3489.8113403320312,104924.87731933594,100894.54357910156,3.1204430282201283,0.0
Short Sell - Buy,482.6650085449219,2024-01-09 13:30:00-05:00,572.2000122070312,2024-02-20 11:30:00-05:00,97980.99673461914,104822.90222167967,-6841.905487060532,105239.6431274414,95932.13269042967,0.0,2.0910830798535374
Buy - Sell,572.2000122070312,2024-02-20 11:30:00-05:00,586.52001953125,2024-02-22 11:30:00-05:00,104712.60223388672,107333.16357421876,2620.561340332046,107287.41357421876,104352.08642578124,2.4589316714533855,0.0
Short Sell - Buy,481.1199951171875,2024-01-09 14:30:00-05:00,589.1900024414062,2024-02-26 11:30:00-05:00,97667.35900878906,106956.84777832033,-9289.488769531265,107413.68359375,95932.13269042967,0.0,1.7766696427239697
Buy - Sell,589.1900024414062,2024-02-26 11:30:00-05:00,598.989990234375,2024-02-27 09:30:00-05:00,107232.58044433594,109016.17822265624,1783.597778320298,107232.58044433594,106870.40222167967,0.0,0.0
Short Sell - Buy,482.1300048828125,2024-01-09 15:30:00-05:00,597.3099975585938,2024-02-29 11:30:00-05:00,97390.26098632812,110622.6040649414,-13232.343078613281,111099.65954589844,95932.13269042967,0.0,1.4972013434722673
Buy - Sell,597.3099975585938,2024-02-29 11:30:00-05:00,606.010009765625,2024-03-01 09:30:00-05:00,111099.65954589844,112717.86181640624,1618.202270507798,112131.95727539062,111099.65954589844,0.9291637199533594,0.0
