Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Initial,2024-01-02 09:30:00-05:00,471.5,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-02 10:30:00-05:00,472.2999878,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-02 11:30:00-05:00,470.6099854,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-02 12:30:00-05:00,469.1000061,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-02 13:30:00-05:00,465.0400085,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-02 14:30:00-05:00,464.2550049,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-02 15:30:00-05:00,468.3999939,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-03 09:30:00-05:00,472.3800049,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-03 10:30:00-05:00,471.3200073,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-03 11:30:00-05:00,471.2600098,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-03 12:30:00-05:00,472.230011,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
No Signal,2024-01-03 13:30:00-05:00,472.2049866,0,0,0,100000,,100000,12,17,,0.498866494,3.49226357,,,,0.498866494,3.49226357
